Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/35,13/14,16/13,3/8,-,-
2024,2/1,-,2/1,-,-,-
2023,7/6,7/5,-,0/1,-,-
2022,4/3,-,3/2,1/1,-,-
2021,7/5,3/3,4/1,0/1,-,-
2020,7/9,-,7/9,-,-,-
2019,3/4,2/2,-,1/2,-,-
2018,1/3,1/3,-,-,-,-
2017,0/2,-,-,0/2,-,-
2016,1/2,0/1,-,1/1,-,-
