Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,104/100,102/94,-,-,-,2/6
2024,34/27,34/27,-,-,-,-
2023,24/30,24/30,-,-,-,-
2022,34/29,32/23,-,-,-,2/6
2021,12/13,12/13,-,-,-,-
2020,0/1,0/1,-,-,-,-
