Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,121/159,0/1,120/156,1/2,-,-
2024,1/4,-,1/4,-,-,-
2023,15/12,-,15/12,-,-,-
2022,13/15,-,13/15,-,-,-
2020,1/5,-,1/5,-,-,-
2019,13/18,-,13/18,-,-,-
2018,20/20,-,20/20,-,-,-
2017,19/25,-,18/24,1/1,-,-
2016,16/19,0/1,16/18,-,-,-
2015,11/18,-,11/17,0/1,-,-
2014,11/18,-,11/18,-,-,-
2013,1/5,-,1/5,-,-,-
