Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,Imai S.,2,,,,,,"['4', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.14
26.03.,Congcar C.,0,,,,,,[],[],[],[],[],4.90
07.01.2024,Chung Y.,2,,,,,,5,3,61%,83% (30/36),48% (11/23),80% (4/5),52% (13/25),48% (13/27),83% (5/6),69% (41/59),50% (26/52),60% (67/111),8,0,89% (8/9),50% (5/10),68% (13/19),"['1', '0', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],1.02
07.01.2024,Congcar C.,0,,,,,,2,2,48%,48% (12/25),52% (14/27),17% (1/6),17% (6/36),52% (12/23),20% (1/5),50% (26/52),31% (18/59),40% (44/111),2,0,50% (5/10),11% (1/9),32% (6/19),"['5', '5']",[],[],[],[],12.10
05.09.2023,Leong M. W. K.,2,,,,,,[],[],[],[],[],1.27
05.09.2023,Congcar C.,0,,,,,,[],[],[],[],[],3.48
31.08.2023,Tang S.,2,,,,,,[],[],[],[],[],1.31
31.08.2023,Congcar C.,0,,,,,,[],[],[],[],[],3.22
29.08.2023,Congcar C.,2,,,,,,[],[],[],[],[],4.43
29.08.2023,Jang Y.,0,,,,,,[],[],[],[],[],1.18
13.07.2023,Matsuda R.,2,,,,,,[],[],[],[],[],1.13
13.07.2023,Congcar C.,0,,,,,,[],[],[],[],[],5.25
12.07.2023,Congcar C.,2,,,,,,[],[],[],[],[],2.60
12.07.2023,Charoenphon Y.,0,,,,,,[],[],[],[],[],1.45
05.07.2023,Matsuda R.,2,,,,,,[],[],[],[],[],1.17
05.07.2023,Congcar C.,0,,,,,,[],[],[],[],[],4.57
31.05.2023,Congcar C.,2,,,,,,[],[],[],[],[],1.14
31.05.2023,Phunsawat C.,1,,,,,,[],[],[],[],[],5.10
28.08.2022,Schoolkate T.,2,,,,,,8,4,59%,78% (21/27),74% (14/19),100% (6/6),61% (11/18),55% (11/20),80% (4/5),76% (35/46),58% (22/38),68% (57/84),100% (8/8),57% (4/7),80% (12/15),"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.04
28.08.2022,Congcar C.,0,,,,,,0,0,47%,39% (7/18),45% (9/20),20% (1/5),22% (6/27),26% (5/19),0% (0/6),42% (16/38),24% (11/46),32% (27/84),43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],9.20
12.01.2020,Karatsev A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.05
12.01.2020,Congcar C.,0,,,,,,[],[],[],[],[],9.10
09.01.2018,Bega A.,2,,,,,,"['2', '1', '6', '5']","['1', '0']",[],[],[],1.05
09.01.2018,Congcar C.,0,,,,,,"['3', '3']",[],[],[],[],10.50
22.11.2017,Santillan A.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],1.03
22.11.2017,Congcar C.,0,,,,,,[],[],[],[],[],13.00
26.09.2015,Sugita Y.,2,,,,,,"['2', '1', '4', '1', '5', '2']","['1', '0', '2', '1', '5', '2']",[],[],[],1.03
26.09.2015,Congcar C.,0,,,,,,"['2', '4']","['1', '1']",[],[],[],16.00
