Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,285/304,201/206,78/90,2/6,-,4/2
2024,12/9,12/9,-,-,-,-
2023,23/20,18/16,1/0,0/2,-,4/2
2022,12/22,9/16,3/6,-,-,-
2021,35/26,22/14,13/12,-,-,-
2020,3/3,3/3,-,-,-,-
2019,17/23,10/13,7/9,0/1,-,-
2018,12/26,2/14,10/12,-,-,-
2017,23/24,23/24,-,-,-,-
2016,23/20,15/12,8/8,-,-,-
2015,24/21,16/13,8/8,-,-,-
2014,32/28,30/23,2/5,-,-,-
2013,16/22,14/16,2/6,-,-,-
2012,21/26,11/10,10/16,-,-,-
2011,20/18,5/8,14/8,1/2,-,-
2010,12/13,11/12,-,1/1,-,-
2009,0/3,0/3,-,-,-,-
