Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,639/483,406/278,212/158,18/34,3/9,0/4
2024,12/14,0/2,9/7,3/5,-,-
2023,24/36,16/19,7/13,1/3,0/1,-
2022,39/33,25/18,13/12,1/1,-,0/2
2021,16/31,12/19,3/6,1/4,0/1,0/1
2020,20/19,18/11,2/5,0/3,-,-
2019,49/28,19/11,23/11,6/4,1/2,-
2018,57/32,23/13,33/17,1/2,-,-
2017,34/36,24/17,7/12,2/5,1/2,-
2016,60/32,48/22,9/4,3/5,0/1,-
2015,51/17,27/10,24/7,-,-,-
2014,16/30,4/13,12/15,0/1,0/1,-
2013,42/33,23/23,18/9,-,1/1,-
2012,56/26,46/20,10/6,-,-,-
2011,45/30,30/18,15/12,-,-,-
2010,40/29,30/17,10/10,0/1,-,0/1
2009,32/24,24/18,8/6,-,-,-
2008,35/27,26/21,9/6,-,-,-
2007,11/6,11/6,-,-,-,-
