Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Caniato C. A.,2,,,,,,"['2', '3', '6', '5']","['3', '4']","['2', '0', '4', '0']",[],[],1.05
22.08.,Genier T.,1,,,,,,"['2', '0']","['2', '0']",[],[],[],7.70
19.08.,Genier T.,2,,,,,,"['2', '2', '6', '4']","['4', '2', '5', '3']",[],[],[],19.0
19.08.,Aerne L.,0,,,,,,"['2', '1']","['3', '4']",[],[],[],1.73
10.08.,Noce G. M.,2,,,,,,2,3,73%,76% (29/38),64% (9/14),100% (1/1),30% (9/30),53% (10/19),75% (3/4),11,13,70% (7/10),73% (38/52),39% (19/49),56% (57/101),5,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0']","['1', '0', '3', '0']",[],[],[],1.86
10.08.,Genier T.,0,,,,,,4,3,61%,70% (21/30),47% (9/19),25% (1/4),24% (9/38),36% (5/14),0% (0/1),15,25,50% (2/4),61% (30/49),27% (14/52),44% (44/101),5,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],21.0
23.07.,Ejupovic E.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.11
23.07.,Genier T.,0,,,,,,[],[],[],[],[],5.50
03.07.,Escoffier A.,2,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],1.08
03.07.,Genier T.,0,,,,,,[],[],[],[],[],6.40
01.07.,Genier T.,2,,,,,,"['1', '1', '3', '1', '5', '1', '6', '2']","['5', '3']",[],[],[],1.32
01.07.,Bivol M.,0,,,,,,"['1', '0', '2', '5']",[],[],[],[],3.14
18.06.,Denolly C.,2,,,,,,"['3', '2']","['1', '2', '4', '3']",[],[],[],1.08
18.06.,Genier T.,0,,,,,,[],"['2', '0']",[],[],[],6.30
20.04.,Loof T.,2,,,,,,7,4,59%,78% (51/65),62% (28/45),75% (3/4),26% (19/73),55% (23/42),29% (2/7),72% (79/110),37% (42/115),54% (121/225),7,0,94% (16/17),13% (2/16),55% (18/33),[],"['4', '2']","['1', '0']",[],[],2.73
20.04.,Genier T.,1,,,,,,16,3,63%,74% (54/73),45% (19/42),71% (5/7),22% (14/65),38% (17/45),25% (1/4),63% (73/115),28% (31/110),46% (104/225),3,0,88% (14/16),6% (1/17),45% (15/33),[],[],"['5', '5']",[],[],1.42
13.04.,Bax F.,2,,,,,,5,2,60%,84% (41/49),44% (14/32),88% (7/8),27% (13/48),60% (18/30),50% (2/4),68% (55/81),40% (31/78),54% (86/159),6,0,91% (10/11),20% (2/10),57% (12/21),"['2', '1']","['4', '2']",[],[],[],1.11
13.04.,Genier T.,0,,,,,,2,3,62%,73% (35/48),40% (12/30),50% (2/4),16% (8/49),56% (18/32),13% (1/8),60% (47/78),32% (26/81),46% (73/159),4,0,80% (8/10),9% (1/11),43% (9/21),"['2', '2']",[],[],[],[],5.65
01.04.,Poullain L.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '5', '1', '6', '2']",[],[],[],1.08
01.04.,Genier T.,0,,,,,,[],"['2', '5']",[],[],[],6.60
26.03.,Wendelken H.,2,,,,,,"['2', '3', '5', '4']","['3', '2']",[],[],[],1.10
26.03.,Genier T.,0,,,,,,"['3', '1']",[],[],[],[],5.90
06.03.,Pecci A.,2,,,,,,"['6', '4']","['3', '1']",[],[],[],1.13
06.03.,Genier T.,0,,,,,,[],[],[],[],[],5.20
05.03.,Genier T.,2,,,,,,"['1', '0', '3', '2']","['2', '1']",[],[],[],4.80
05.03.,Ribecai M.,0,,,,,,"['2', '2']",[],[],[],[],1.14
