Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Heilbronn (Germany) - Qualification,clay,header
02.06. 20:30,Harrison C.,1,3,7,4,,,10,9,57%,72% (39/54),46% (19/41),69% (9/13),32% (23/72),49% (21/43),19% (3/16),6,61% (58/95),38% (44/115),49% (102/210),3,73% (11/15),19% (3/16),45% (14/31),[],"['3', '3', '7', '5']","['3', '3']",[],[],3.66
02.06. 20:30,Basilashvili N.,2,6,5,6,,,4,5,63%,68% (49/72),51% (22/43),81% (13/16),28% (15/54),54% (22/41),31% (4/13),8,62% (71/115),39% (37/95),51% (108/210),3,81% (13/16),27% (4/15),55% (17/31),"['4', '2']","['2', '1']","['1', '0', '5', '4']",[],[],1.26
CHALLENGER MEN - SINGLES :  Champaign (USA) - Qualification,hard,header
13.11.2023,Harrison C.,1,4,6,6^9,,,2,4,70%,71% (46/65),64% (18/28),0% (0/3),32% (21/66),45% (17/38),50% (3/6),9,69% (64/93),37% (38/104),52% (102/197),3,81% (13/16),20% (3/15),52% (16/31),[],"['2', '0']","['2', '1', '3', '2']",[],[],1.11
13.11.2023,Okonkwo O.,2,6,3,7^11,,,2,4,63%,68% (45/66),55% (21/38),50% (3/6),29% (19/65),36% (10/28),100% (3/3),5,63% (66/104),31% (29/93),48% (95/197),3,80% (12/15),19% (3/16),48% (15/31),"['4', '3']",[],"['2', '2', '4', '4']",[],[],6.02
CHALLENGER MEN - SINGLES :  Knoxville (USA),hard,header
08.11.2023,Harrison C.,0,1,4,,,,1,2,76%,52% (26/50),50% (8/16),56% (5/9),23% (8/35),46% (6/13),100% (1/1),5,52% (32/62),29% (14/48),42% (46/110),1,50% (4/8),11% (1/9),29% (5/17),"['1', '4']",[],[],[],[],1.67
08.11.2023,Cassone M.,2,6,6,,,,4,1,73%,77% (27/35),54% (7/13),0% (0/1),46% (23/50),50% (8/16),44% (4/9),6,71% (34/48),48% (30/62),58% (64/110),4,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0', '5', '1']","['2', '1']",[],[],[],2.13
CHALLENGER MEN - SINGLES :  Knoxville (USA) - Qualification,hard,header
06.11.2023,Harrison C.,0,1,3,,,,0,1,62%,47% (15/32),45% (9/20),17% (1/6),21% (5/24),38% (10/26),50% (1/2),4,46% (24/52),30% (15/50),38% (39/102),3,38% (3/8),13% (1/8),25% (4/16),[],"['2', '4']",[],[],[],1.87
