Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,484/365,131/89,223/183,67/57,49/28,14/8
2024,17/17,6/5,10/10,-,1/1,0/1
2023,40/28,4/4,24/18,4/2,6/3,2/1
2022,47/22,11/3,17/11,8/5,10/3,1/0
2021,27/26,8/6,15/14,3/3,1/3,-
2020,11/11,4/3,5/6,2/2,-,-
2019,27/27,9/7,8/15,0/1,7/2,3/2
2018,39/22,13/5,22/12,2/3,2/2,-
2017,48/22,12/6,27/11,3/3,6/2,-
2016,43/26,6/6,20/15,6/3,6/1,5/1
2015,33/27,5/5,20/16,5/0,2/3,1/3
2014,30/26,11/4,14/15,1/4,2/3,2/0
2013,27/27,8/7,11/13,3/5,5/2,-
2012,28/29,7/11,14/14,7/3,0/1,-
2011,23/20,8/5,10/7,4/6,1/2,-
2010,20/13,11/5,2/1,7/7,-,-
2009,18/15,6/5,4/3,8/7,-,-
2008,6/6,2/2,0/1,4/3,-,-
2007,0/1,-,0/1,-,-,-
