Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,200/129,90/59,63/35,31/24,12/7,4/4
2024,32/22,11/8,10/6,4/3,6/3,1/2
2023,54/28,21/10,7/5,18/9,6/4,2/0
2022,39/22,14/9,22/8,2/3,-,1/2
2021,21/19,14/12,2/3,5/4,-,-
2020,17/9,17/8,-,0/1,-,-
2019,20/17,11/8,9/8,0/1,-,-
2018,12/4,-,12/4,-,-,-
2017,5/7,2/3,1/1,2/3,-,-
2016,0/1,0/1,-,-,-,-
