Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/20,-,33/19,0/1,-,-
2024,19/11,-,19/11,-,-,-
2023,10/7,-,10/6,0/1,-,-
2022,4/2,-,4/2,-,-,-
