Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.04.,Sperle J.,2,,,,,,"['3', '1', '6', '4']",[],"['1', '1', '3', '1', '5', '1']",[],[],1.34
30.04.,Bol J.,1,,,,,,"['4', '5']","['4', '3']","['1', '0']",[],[],3.04
04.12.2024,Sakellaridis D.,2,,,,,,"['2', '0', '3', '1']","['2', '3', '4', '5']",[],[],[],2.85
04.12.2024,Bol J.,0,,,,,,"['1', '2']","['3', '1', '4', '2']",[],[],[],1.38
05.09.2024,Dedura D.,1,,,,,,"['3', '1']","['1', '2', '4', '5']",[],[],[],1.23
05.09.2024,Bol J.,0,,,,,,[],"['2', '0', '4', '2']",[],[],[],3.86
05.09.2024,Bol J.,2,,,,,,[],"['3', '1']","['2', '1', '4', '1']",[],[],1.31
05.09.2024,Wagenaar L.,1,,,,,,"['5', '4']",[],[],[],[],3.38
27.08.2024,Morandais J.,2,,,,,,[],"['2', '3', '5', '4']","['1', '2', '4', '3', '5', '4']",[],[],2.47
27.08.2024,Bol J.,1,,,,,,"['3', '2', '6', '3']","['3', '1']","['2', '0', '4', '4']",[],[],1.50
22.08.2024,Oetzbach A.,2,,,,,,"['1', '0', '4', '5']","['2', '1', '3', '2', '6', '3']","['1', '3', '4', '4', '6', '4']",[],[],1.19
22.08.2024,Bol J.,1,,,,,,"['1', '1', '3', '1', '6', '4']","['2', '2']","['1', '0', '3', '0']",[],[],4.27
21.08.2024,Bol J.,2,,,,,,"['2', '2', '3', '3', '5', '3']","['1', '0', '5', '2']",[],[],[],1.86
21.08.2024,Van Tilburg R.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],1.86
14.08.2024,Bozemoj B.,2,,,,,,"['1', '1']","['2', '2', '3', '3', '6', '4']","['4', '4', '6', '6']",[],[],1.61
14.08.2024,Bol J.,1,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '2']","['2', '1', '6', '5']",[],[],2.22
07.08.2024,Bailly G. A.,2,,,,,,"['2', '0', '6', '4']","['2', '4']","['1', '0', '2', '1', '5', '2']",[],[],1.14
07.08.2024,Bol J.,1,,,,,,"['1', '2']","['1', '0', '4', '1', '6', '3']","['1', '1']",[],[],5.14
31.07.2024,Morandais J.,2,,,,,,"['1', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],3.51
31.07.2024,Bol J.,0,,,,,,[],[],[],[],[],1.27
18.07.2024,Bonnaud A.,2,,,,,,[],[],"['7', '0']",[],[],1.67
18.07.2024,Bol J.,1,,,,,,[],[],[],[],[],2.11
16.07.2024,Bol J.,2,,,,,,[],[],[],[],[],1.21
16.07.2024,Colne N.,0,,,,,,[],"['2', '6']",[],[],[],4.12
26.06.2024,Gentzsch T.,2,,,,,,"['1', '0', '6', '5']",[],"['3', '3', '5', '3', '6', '6']",[],[],1.23
26.06.2024,Bol J.,1,,,,,,"['4', '4']","['5', '3']","['1', '0', '4', '5', '6', '5']",[],[],3.86
30.11.2023,Sorger S.,2,,,,,,[],[],[],[],[],1.14
30.11.2023,Bol J.,1,,,,,,[],[],[],[],[],5.15
29.11.2023,Bol J.,2,,,,,,[],[],[],[],[],2.25
29.11.2023,Trinker J.,1,,,,,,[],[],[],[],[],1.59
23.11.2023,Bozemoj B.,2,,,,,,[],[],[],[],[],1.42
23.11.2023,Bol J.,1,,,,,,[],[],[],[],[],2.70
22.11.2023,Bol J.,2,,,,,,[],[],[],[],[],1.68
22.11.2023,Bocchi L.,1,,,,,,[],[],[],[],[],2.06
