Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/60,43/38,13/11,-,-,9/11
2024,16/15,16/15,-,-,-,-
2023,29/19,19/14,10/5,-,-,-
2022,13/19,2/3,2/5,-,-,9/11
2021,7/7,6/6,1/1,-,-,-
