Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
27.09. 14:40,Osaka N.,2,3,6,6,,,6,2,52%,70% (32/46),48% (20/42),60% (6/10),39% (18/46),41% (11/27),71% (5/7),6,59% (52/88),40% (29/73),50% (81/161),6,71% (10/14),38% (5/13),56% (15/27),[],"['1', '0', '5', '4']","['1', '0', '3', '0', '5', '2']",[],[],1.54
27.09. 14:40,Putintseva Y.,1,6,4,2,,,4,2,63%,61% (28/46),59% (16/27),29% (2/7),30% (14/46),52% (22/42),40% (4/10),7,60% (44/73),41% (36/88),50% (80/161),3,62% (8/13),29% (4/14),44% (12/27),"['3', '2', '6', '3']","['3', '3']","['1', '3']",[],[],2.51
25.09. 11:55,Osaka N.,2,6,6,,,,8,3,61%,79% (34/43),37% (10/27),86% (6/7),50% (20/40),50% (10/20),50% (4/8),11,63% (44/70),50% (30/60),57% (74/130),5,89% (8/9),50% (4/8),71% (12/17),"['3', '3', '5', '3']","['2', '1', '4', '1']",[],[],[],1.25
25.09. 11:55,Bronzetti L.,0,3,2,,,,1,2,67%,50% (20/40),50% (10/20),50% (4/8),21% (9/43),63% (17/27),14% (1/7),4,50% (30/60),37% (26/70),43% (56/130),2,50% (4/8),11% (1/9),29% (5/17),"['3', '2']",[],[],[],[],4.01
WTA - SINGLES :  US Open (USA),hard,header
30.08. 04:45,Osaka N.,0,3,6^5,,,,6,4,57%,74% (32/43),42% (14/33),57% (4/7),23% (11/47),42% (5/12),33% (1/3),15,21,44% (8/18),6,61% (46/76),27% (16/59),46% (62/135),2,73% (8/11),10% (1/10),43% (9/21),1936,[],"['5', '4']",[],[],[],1.74
30.08. 04:45,Muchova K.,2,6,7^7,,,,7,1,80%,77% (36/47),58% (7/12),67% (2/3),26% (11/43),58% (19/33),43% (3/7),24,13,68% (13/19),7,73% (43/59),39% (30/76),54% (73/135),5,90% (9/10),27% (3/11),57% (12/21),2216,"['4', '3', '6', '3']","['5', '5']",[],[],[],2.12
27.08. 23:40,Osaka N.,2,6,6,,,,9,0,60%,80% (24/30),75% (15/20),100% (2/2),39% (12/31),53% (10/19),100% (3/3),19,5,100% (1/1),9,78% (39/50),44% (22/50),61% (61/100),5,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['1', '0', '5', '2']",[],[],[],1.67
27.08. 23:40,Ostapenko J.,0,3,2,,,,5,6,62%,61% (19/31),47% (9/19),0% (0/3),20% (6/30),25% (5/20),0% (0/2),21,21,100% (1/1),4,56% (28/50),22% (11/50),39% (39/100),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.22
WTA - SINGLES :  Cincinnati (USA) - Qualification,hard,header
