Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/42,35/39,-,0/2,-,1/1
2024,11/11,11/10,-,0/1,-,-
2023,13/9,13/9,-,-,-,-
2022,3/6,3/6,-,-,-,-
2021,5/5,5/5,-,-,-,-
2020,2/4,1/3,-,-,-,1/1
2019,2/4,2/3,-,0/1,-,-
2018,0/3,0/3,-,-,-,-
