Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,429/290,38/43,301/182,65/47,25/18,-
2024,20/22,3/8,4/9,4/1,9/4,-
2023,32/30,7/6,17/15,5/5,3/4,-
2022,23/31,3/9,11/13,6/5,3/4,-
2021,39/25,5/5,18/11,11/6,5/3,-
2020,30/18,1/2,19/11,10/5,-,-
2019,49/26,5/6,29/12,10/5,5/3,-
2018,29/26,-,25/21,4/5,-,-
2017,48/27,4/3,43/19,1/5,-,-
2016,17/7,-,12/3,5/4,-,-
2015,38/24,-,35/22,3/2,-,-
2014,34/17,-,28/14,6/3,-,-
2013,23/9,3/2,20/6,0/1,-,-
2012,15/6,-,15/6,-,-,-
2011,14/8,7/2,7/6,-,-,-
2010,14/11,-,14/11,-,-,-
2009,2/2,-,2/2,-,-,-
2008,2/1,-,2/1,-,-,-
