Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/28,9/11,30/17,-,-,-
2024,9/10,9/10,-,-,-,-
2023,28/16,0/1,28/15,-,-,-
2022,2/2,-,2/2,-,-,-
