31.03. 01:05,Chang S.,1,3,6,6^6,,,2,5,58%,53% (32/60),48% (21/44),56% (9/16),37% (23/62),51% (18/35),54% (7/13),6,51% (53/104),42% (41/97),47% (94/201),4,53% (8/15),44% (7/16),48% (15/31),"['1', '0']","['2', '2', '4', '2', '6', '4']","['1', '1', '2', '2', '5', '5']",[],[],5.75
WTA - SINGLES :  Miami (USA),hard,header
24.03. 01:30,Liu C.,0,0,0,,,,1,4,56%,46% (11/24),21% (4/19),56% (5/9),15% (2/13),63% (5/8),0% (0/0),2,41% (24/58),30% (6/20),38% (30/78),0,0% (0/4),0% (0/3),0% (0/7),[],[],[],[],[],4.62
24.03. 01:30,Kasatkina D.,1,6,1,,,,0,2,62%,85% (11/13),38% (3/8),0% (0/0),46% (11/24),79% (15/19),44% (4/9),9,70% (14/20),59% (34/58),62% (48/78),7,100% (3/3),100% (4/4),100% (7/7),"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.20
20.03. 22:15,Liu C.,2,6,6,,,,3,2,58%,66% (19/29),67% (14/21),60% (3/5),30% (8/27),76% (19/25),63% (5/8),6,66% (33/50),52% (27/52),59% (60/102),5,78% (7/9),63% (5/8),71% (12/17),"['1', '1', '3', '1', '6', '4']","['2', '0', '5', '1']",[],[],[],2.28
20.03. 22:15,Martic P.,0,4,1,,,,3,3,52%,70% (19/27),24% (6/25),38% (3/8),34% (10/29),33% (7/21),40% (2/5),4,48% (25/52),34% (17/50),41% (42/102),2,38% (3/8),22% (2/9),29% (5/17),"['1', '0', '2', '3']",[],[],[],[],1.64
WTA - SINGLES :  Miami (USA) - Qualification,hard,header
18.03. 23:50,Liu C.,2,6,6,,,,7,1,64%,76% (29/38),43% (9/21),75% (3/4),36% (12/33),74% (17/23),57% (4/7),9,64% (38/59),52% (29/56),58% (67/115),3,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '2']","['2', '1', '5', '2']",[],[],[],2.21
18.03. 23:50,Minnen G.,0,3,2,,,,1,3,59%,64% (21/33),26% (6/23),43% (3/7),24% (9/38),57% (12/21),25% (1/4),5,48% (27/56),36% (21/59),42% (48/115),2,50% (4/8),11% (1/9),29% (5/17),"['2', '3']",[],[],[],[],1.63
18.03. 00:20,Liu C.,2,4,6,7^7,,,8,0,62%,63% (43/68),60% (25/42),64% (7/11),29% (17/58),56% (22/39),50% (4/8),7,62% (68/110),40% (39/97),52% (107/207),3,75% (12/16),27% (4/15),52% (16/31),"['2', '0']","['2', '0']","['1', '0', '5', '4']",[],[],1.62
18.03. 00:20,Rakhimova K.,1,6,3,6^4,,,2,5,60%,71% (41/58),44% (17/39),50% (4/8),37% (25/68),40% (17/42),36% (4/11),7,60% (58/97),38% (42/110),48% (100/207),3,73% (11/15),25% (4/16),48% (15/31),"['1', '2', '4', '3']",[],"['3', '3', '5', '5']",[],[],2.23
WTA - SINGLES :  Indian Wells (USA) - Qualification,hard,header
06.03. 02:05,Liu C.,1,1,7,3,,,5,7,60%,62% (32/52),37% (13/35),40% (4/10),41% (32/79),41% (11/27),19% (3/16),6,52% (45/87),41% (43/106),46% (88/193),5,57% (8/14),21% (3/14),39% (11/28),[],"['4', '5', '6', '5']","['2', '5']",[],[],1.62
06.03. 02:05,Hontama M.,2,6,5,6,,,1,1,75%,59% (47/79),59% (16/27),81% (13/16),38% (20/52),63% (22/35),60% (6/10),8,59% (63/106),48% (42/87),54% (105/193),5,79% (11/14),43% (6/14),61% (17/28),"['1', '0', '4', '1', '6', '1']","['4', '2']","['2', '0', '4', '0']",[],[],2.23
03.03. 23:35,Liu C.,2,7^7,6,,,,0,3,58%,71% (30/42),50% (15/30),60% (3/5),40% (19/47),55% (16/29),40% (4/10),7,63% (45/72),46% (35/76),54% (80/148),4,80% (8/10),40% (4/10),60% (12/20),"['5', '5']","['2', '1', '4', '1', '5', '2']",[],[],[],1.71
03.03. 23:35,Timofeeva M.,0,6^5,2,,,,1,5,62%,60% (28/47),45% (13/29),60% (6/10),29% (12/42),50% (15/30),40% (2/5),5,54% (41/76),38% (27/72),46% (68/148),2,60% (6/10),20% (2/10),40% (8/20),"['5', '4']","['2', '4']",[],[],[],2.16
WTA - SINGLES :  San Diego (USA) - Qualification,hard,header
26.02. 04:40,Liu C.,0,4,2,,,,1,3,61%,49% (17/35),36% (8/22),25% (2/8),33% (12/36),63% (17/27),38% (3/8),6,44% (25/57),46% (29/63),45% (54/120),2,33% (3/9),33% (3/9),33% (6/18),"['1', '3', '2', '4', '3', '5']",[],[],[],[],1.64
26.02. 04:40,Niemeier J.,2,6,6,,,,1,7,57%,67% (24/36),37% (10/27),63% (5/8),51% (18/35),64% (14/22),75% (6/8),6,54% (34/63),56% (32/57),55% (66/120),5,67% (6/9),67% (6/9),67% (12/18),"['1', '0', '3', '0', '4', '1', '5', '2']","['2', '1', '4', '1']",[],[],[],2.20
25.02. 06:55,Liu C.,2,6,6,,,,3,5,63%,71% (25/35),52% (11/21),50% (3/6),41% (18/44),70% (19/27),45% (5/11),7,64% (36/56),52% (37/71),57% (73/127),3,70% (7/10),56% (5/9),63% (12/19),"['1', '1', '4', '2']","['1', '0', '2', '1', '5', '4']",[],[],[],1.15
25.02. 06:55,Fung S.,0,3,4,,,,0,5,62%,59% (26/44),30% (8/27),55% (6/11),29% (10/35),48% (10/21),50% (3/6),3,48% (34/71),36% (20/56),43% (54/127),2,44% (4/9),30% (3/10),37% (7/19),"['1', '0']","['1', '1', '2', '2']",[],[],[],5.52
CHALLENGER WOMEN - SINGLES :  Puerto Vallarta (Mexico),hard,header
23.02. 01:40,Liu C.,0,4,3,,,,4,1,65%,64% (21/33),39% (7/18),20% (1/5),29% (10/35),47% (14/30),33% (1/3),7,55% (28/51),37% (24/65),45% (52/116),3,60% (6/10),11% (1/9),37% (7/19),"['2', '0']",[],[],[],[],1.71
23.02. 01:40,Kessler M.,2,6,6,,,,0,2,54%,71% (25/35),53% (16/30),67% (2/3),36% (12/33),61% (11/18),80% (4/5),8,63% (41/65),45% (23/51),55% (64/116),5,89% (8/9),40% (4/10),63% (12/19),"['3', '4', '5', '4']","['4', '3', '6', '3']",[],[],[],2.16
21.02. 06:00,Liu C.,2,6,1,7,,,4,2,76%,65% (42/65),57% (12/21),50% (3/6),29% (16/56),55% (16/29),60% (3/5),5,63% (54/86),38% (32/85),50% (86/171),3,79% (11/14),21% (3/14),50% (14/28),"['3', '1']","['1', '2']","['7', '5']",[],[],1.29
21.02. 06:00,Lepchenko V.,1,3,6,5,,,5,1,66%,71% (40/56),45% (13/29),40% (2/5),35% (23/65),43% (9/21),50% (3/6),6,62% (53/85),37% (32/86),50% (85/171),4,79% (11/14),21% (3/14),50% (14/28),[],"['2', '0', '3', '1', '5', '1']",[],[],[],3.43
WTA - SINGLES :  Australian Open (Australia),hard,header
15.01. 09:35,Liu C.,1,3,6,1,,,0,0,63%,60% (29/48),39% (11/28),25% (2/8),32% (12/38),38% (15/39),60% (3/5),17,27,67% (16/24),5,53% (40/76),35% (27/77),44% (67/153),4,54% (7/13),23% (3/13),38% (10/26),"['2', '2']","['3', '2', '5', '2']",[],[],[],2.78
15.01. 09:35,Kostyuk M.,2,6,4,6,,,1,7,49%,68% (26/38),62% (24/39),40% (2/5),40% (19/48),61% (17/28),75% (6/8),29,22,59% (10/17),8,65% (50/77),47% (36/76),56% (86/153),3,77% (10/13),46% (6/13),62% (16/26),"['1', '0', '3', '2', '6', '3']","['3', '5']","['2', '0', '5', '1']",[],[],1.46
WTA - SINGLES :  Adelaide (Australia),hard,header
09.01. 10:15,Liu C.,0,4,3,,,,3,0,63%,57% (28/49),34% (10/29),58% (7/12),32% (13/41),61% (14/23),25% (2/8),4,49% (38/78),42% (27/64),46% (65/142),3,50% (5/10),22% (2/9),37% (7/19),"['1', '1', '3', '1']",[],[],[],[],3.00
09.01. 10:15,Kasatkina D.,2,6,6,,,,1,5,64%,68% (28/41),39% (9/23),75% (6/8),43% (21/49),66% (19/29),42% (5/12),6,58% (37/64),51% (40/78),54% (77/142),4,78% (7/9),50% (5/10),63% (12/19),"['1', '0', '2', '3', '5', '4']","['4', '3', '6', '3']",[],[],[],1.40
WTA - SINGLES :  Adelaide (Australia) - Qualification,hard,header
07.01. 09:40,Liu C.,2,6,6,,,,3,0,71%,76% (26/34),64% (9/14),67% (2/3),44% (17/39),60% (12/20),40% (4/10),6,73% (35/48),49% (29/59),60% (64/107),5,89% (8/9),50% (4/8),71% (12/17),"['3', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],2.15
07.01. 09:40,Townsend T.,0,4,1,,,,4,2,66%,56% (22/39),40% (8/20),60% (6/10),24% (8/34),36% (5/14),33% (1/3),5,51% (30/59),27% (13/48),40% (43/107),2,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],1.70
06.01. 12:55,Liu C.,2,6,6,,,,5,1,72%,76% (26/34),46% (6/13),75% (3/4),43% (12/28),63% (12/19),63% (5/8),7,68% (32/47),51% (24/47),60% (56/94),9,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],2.68
06.01. 12:55,Giorgi C.,0,3,1,,,,0,4,60%,57% (16/28),37% (7/19),38% (3/8),24% (8/34),54% (7/13),25% (1/4),7,49% (23/47),32% (15/47),40% (38/94),3,38% (3/8),13% (1/8),25% (4/16),"['2', '2']",[],[],[],[],1.48
WTA - SINGLES :  Auckland (New Zealand),hard,header
02.01. 08:10,Liu C.,0,4,2,,,,1,5,75%,60% (28/47),19% (3/16),38% (3/8),28% (9/32),47% (8/17),100% (2/2),6,49% (31/63),35% (17/49),43% (48/112),2,44% (4/9),22% (2/9),33% (6/18),"['1', '4', '4', '5']",[],[],[],[],8.40
02.01. 08:10,Gauff C.,2,6,6,,,,3,4,65%,72% (23/32),53% (9/17),0% (0/2),40% (19/47),81% (13/16),63% (5/8),7,65% (32/49),51% (32/63),57% (64/112),4,78% (7/9),56% (5/9),67% (12/18),"['2', '0', '4', '0', '6', '4']","['4', '2', '6', '2']",[],[],[],1.08
WTA - SINGLES :  Monastir (Tunisia),hard,header
19.10.2023,Liu C.,0,1,5,,,,0,6,66%,41% (20/49),60% (15/25),56% (9/16),50% (17/34),35% (6/17),75% (3/4),4,44% (38/86),45% (23/51),45% (61/137),2,30% (3/10),33% (3/9),32% (6/19),[],"['1', '0', '4', '3', '5', '4']",[],[],[],2.52
19.10.2023,Tsurenko L.,2,6,7,,,,0,2,67%,50% (17/34),65% (11/17),25% (1/4),59% (29/49),40% (10/25),44% (7/16),5,55% (28/51),56% (48/86),55% (76/137),6,67% (6/9),70% (7/10),68% (13/19),"['2', '1', '4', '1', '6', '1']","['3', '3', '4', '4', '5', '5', '7', '5']",[],[],[],1.53
17.10.2023,Liu C.,2,6,7^7,,,,4,3,66%,76% (28/37),58% (11/19),0% (0/2),33% (15/45),75% (15/20),80% (4/5),6,70% (39/56),46% (30/65),57% (69/121),4,80% (8/10),40% (4/10),60% (12/20),"['2', '1', '3', '2', '5', '2']","['3', '2']",[],[],[],1.62
17.10.2023,Bektas E.,0,2,6^5,,,,6,3,69%,67% (30/45),25% (5/20),20% (1/5),24% (9/37),42% (8/19),100% (2/2),4,54% (35/65),30% (17/56),43% (52/121),2,60% (6/10),20% (2/10),40% (8/20),"['2', '2']","['3', '3']",[],[],[],2.31
WTA - SINGLES :  Seoul (South Korea),hard,header
13.10.2023,Liu C.,1,6,3,0,,,1,5,57%,55% (31/56),40% (17/42),56% (9/16),30% (18/60),60% (24/40),25% (3/12),4,49% (48/98),42% (42/100),45% (90/198),3,46% (6/13),25% (3/12),36% (9/25),"['2', '0', '5', '3', '6', '4']",[],[],[],[],8.90
13.10.2023,Pegula J.,2,4,6,6,,,2,5,60%,70% (42/60),40% (16/40),75% (9/12),45% (25/56),60% (25/42),44% (7/16),7,58% (58/100),51% (50/98),55% (108/198),8,75% (9/12),54% (7/13),64% (16/25),"['3', '4', '4', '5']","['1', '0', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],1.07
11.10.2023,Liu C.,1,1,6,3,,,0,2,63%,55% (21/38),50% (11/22),43% (3/7),50% (22/44),46% (13/28),50% (5/10),9,53% (32/60),49% (35/72),51% (67/132),5,56% (5/9),50% (5/10),53% (10/19),[],"['1', '1', '3', '1', '5', '3']","['1', '0', '3', '0']",[],[],1.91
11.10.2023,Rus A.,1,6,3,0,,,2,6,61%,50% (22/44),54% (15/28),50% (5/10),45% (17/38),50% (11/22),57% (4/7),5,51% (37/72),47% (28/60),49% (65/132),5,50% (5/10),44% (4/9),47% (9/19),"['2', '0', '4', '0']","['1', '0', '3', '4']",[],[],[],1.91
09.10.2023,Liu C.,2,6,6,,,,6,0,62%,79% (26/33),55% (11/20),0% (0/0),41% (16/39),44% (8/18),33% (3/9),7,70% (37/53),42% (24/57),55% (61/110),3,100% (9/9),33% (3/9),67% (12/18),"['5', '3']","['3', '2', '6', '3']",[],[],[],1.14
09.10.2023,Ku Y.,0,3,3,,,,0,5,68%,59% (23/39),56% (10/18),67% (6/9),24% (8/33),45% (9/20),0% (0/0),5,58% (33/57),30% (16/53),45% (49/110),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],5.68
WTA - SINGLES :  Beijing (China) - Qualification,hard,header
29.09.2023,Liu C.,2,6,6,,,,3,1,77%,64% (23/36),45% (5/11),67% (4/6),61% (17/28),77% (17/22),39% (7/18),8,60% (28/47),68% (34/50),64% (62/97),9,71% (5/7),100% (7/7),86% (12/14),"['1', '1', '3', '1', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],2.22
29.09.2023,Pera B.,0,2,0,,,,1,6,56%,39% (11/28),23% (5/22),61% (11/18),36% (13/36),55% (6/11),33% (2/6),3,32% (16/50),40% (19/47),36% (35/97),1,0% (0/7),29% (2/7),14% (2/14),"['1', '0', '2', '3']",[],[],[],[],1.62
WTA - SINGLES :  Ningbo (China),hard,header
26.09.2023,Liu C.,1,5,6,3,,,3,3,60%,64% (35/55),43% (16/37),55% (6/11),36% (24/66),48% (21/44),44% (4/9),5,55% (51/92),41% (45/110),48% (96/202),5,67% (10/15),25% (4/16),45% (14/31),"['2', '1']","['2', '3', '5', '4']","['1', '0']",[],[],4.32
26.09.2023,Cirstea S.,2,7,4,6,,,1,10,60%,64% (42/66),52% (23/44),56% (5/9),36% (20/55),57% (21/37),45% (5/11),8,59% (65/110),45% (41/92),52% (106/202),5,75% (12/16),33% (5/15),55% (17/31),"['2', '2', '7', '5']","['2', '0']","['3', '3', '5', '3']",[],[],1.22
WTA - SINGLES :  Guangzhou (China),hard,header
18.09.2023,Liu C.,0,1,3,,,,0,1,64%,47% (15/32),28% (5/18),25% (2/8),27% (7/26),44% (8/18),67% (2/3),4,40% (20/50),34% (15/44),37% (35/94),2,25% (2/8),25% (2/8),25% (4/16),[],"['1', '0', '3', '4']",[],[],[],1.72
18.09.2023,Shnaider D.,2,6,6,,,,2,2,59%,73% (19/26),56% (10/18),33% (1/3),53% (17/32),72% (13/18),75% (6/8),7,66% (29/44),60% (30/50),63% (59/94),6,75% (6/8),75% (6/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['2', '2', '4', '2', '5', '3']",[],[],[],2.13
WTA - SINGLES :  San Diego (USA) - Qualification,hard,header
11.09.2023,Liu C.,0,4,2,,,,0,1,59%,60% (25/42),48% (14/29),60% (6/10),17% (5/30),38% (8/21),14% (1/7),5,55% (39/71),25% (13/51),43% (52/122),1,56% (5/9),11% (1/9),33% (6/18),"['1', '1']",[],[],[],[],1.41
11.09.2023,Ngounoue C.,2,6,6,,,,2,1,59%,83% (25/30),62% (13/21),86% (6/7),40% (17/42),52% (15/29),40% (4/10),6,75% (38/51),45% (32/71),57% (70/122),5,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '2', '1']","['2', '1', '4', '1']",[],[],[],2.78
10.09.2023,Liu C.,2,4,6,6,,,5,2,71%,77% (46/60),40% (10/25),78% (7/9),35% (14/40),61% (20/33),50% (5/10),6,66% (56/85),47% (34/73),57% (90/158),5,85% (11/13),42% (5/12),64% (16/25),[],"['2', '0', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],1.01
10.09.2023,Ahn A.,1,6,1,2,,,1,4,55%,65% (26/40),39% (13/33),50% (5/10),23% (14/60),60% (15/25),22% (2/9),5,53% (39/73),34% (29/85),43% (68/158),3,58% (7/12),15% (2/13),36% (9/25),"['3', '2']",[],"['1', '1']",[],[],9.70
WTA - SINGLES :  US Open (USA),hard,header
29.08.2023,Liu C.,0,6^3,3,,,,1,1,69%,69% (29/42),53% (10/19),33% (1/3),26% (12/46),42% (10/24),100% (1/1),9,13,29% (2/7),5,64% (39/61),31% (22/70),47% (61/131),1,80% (8/10),9% (1/11),43% (9/21),1722,"['6', '6']",[],[],[],[],5.05
29.08.2023,Samsonova L.,2,7^7,6,,,,6,2,66%,74% (34/46),58% (14/24),0% (0/1),31% (13/42),47% (9/19),67% (2/3),25,25,50% (7/14),10,69% (48/70),36% (22/61),53% (70/131),4,91% (10/11),20% (2/10),57% (12/21),1614,"['6', '5']","['2', '0']",[],[],[],1.18
CHALLENGER WOMEN - SINGLES :  Chicago (USA),hard,header
26.08.2023,Liu C.,0,1,4,,,,0,2,70%,44% (17/39),24% (4/17),30% (3/10),42% (14/33),25% (2/8),100% (3/3),4,38% (21/56),39% (16/41),38% (37/97),2,22% (2/9),38% (3/8),29% (5/17),"['1', '5']","['2', '1', '4', '5']",[],[],[],1.66
26.08.2023,Tomova V.,2,6,6,,,,0,0,80%,58% (19/33),75% (6/8),0% (0/3),56% (22/39),76% (13/17),70% (7/10),13,61% (25/41),63% (35/56),62% (60/97),5,63% (5/8),78% (7/9),71% (12/17),"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '2', '4', '2', '6', '4']",[],[],[],2.26
25.08.2023,Liu C.,0,2,,,,,0,0,100%,80% (8/10),0% (0/0),0% (0/0),33% (2/6),40% (2/5),0% (0/0),4,80% (8/10),36% (4/11),57% (12/21),1,100% (2/2),0% (0/1),67% (2/3),[],[],[],[],[],1.91
25.08.2023,Bucsa C.,0,1,,,,,0,0,55%,67% (4/6),60% (3/5),0% (0/0),20% (2/10),0% (0/0),0% (0/0),3,64% (7/11),20% (2/10),43% (9/21),1,100% (1/1),0% (0/2),33% (1/3),[],[],[],[],[],1.91
24.08.2023,Liu C.,2,7,5,7^7,,,5,6,59%,66% (51/77),43% (23/53),65% (11/17),37% (28/75),55% (26/47),50% (6/12),7,57% (74/130),44% (54/122),51% (128/252),3,67% (12/18),33% (6/18),50% (18/36),"['2', '0', '3', '1', '7', '5']","['3', '3']","['5', '5', '6', '6']",[],[],2.05
24.08.2023,Masarova R.,1,5,7,6^3,,,5,10,61%,63% (47/75),45% (21/47),50% (6/12),34% (26/77),57% (30/53),35% (6/17),7,56% (68/122),43% (56/130),49% (124/252),3,67% (12/18),33% (6/18),50% (18/36),"['1', '2', '3', '4']","['3', '2', '6', '5']","['2', '1', '6', '5']",[],[],1.79
23.08.2023,Liu C.,2,6,6,,,,4,4,62%,62% (21/34),38% (8/21),40% (2/5),62% (21/34),100% (10/10),70% (7/10),13,53% (29/55),70% (31/44),61% (60/99),6,63% (5/8),88% (7/8),75% (12/16),"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '4', '2', '6', '4']",[],[],[],1.91
23.08.2023,Hunter S.,0,0,4,,,,1,3,77%,38% (13/34),0% (0/10),30% (3/10),38% (13/34),62% (13/21),60% (3/5),5,30% (13/44),47% (26/55),39% (39/99),2,13% (1/8),38% (3/8),25% (4/16),[],"['1', '0', '2', '3', '3', '4']",[],[],[],1.88
22.08.2023,Liu C.,2,6,6,,,,5,2,68%,66% (27/41),58% (11/19),50% (1/2),51% (24/47),50% (9/18),50% (4/8),6,63% (38/60),51% (33/65),57% (71/125),5,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '1']","['1', '0', '5', '4']",[],[],[],1.11
22.08.2023,Fetecau I.,0,1,4,,,,0,2,72%,49% (23/47),50% (9/18),50% (4/8),34% (14/41),42% (8/19),50% (1/2),4,49% (32/65),37% (22/60),43% (54/125),2,50% (4/8),11% (1/9),29% (5/17),[],"['4', '4']",[],[],[],6.54
CHALLENGER WOMEN - SINGLES :  Stanford (USA),hard,header
14.08.2023,Liu C.,1,6,6^3,3,,,0,4,68%,56% (33/59),32% (9/28),33% (4/12),49% (30/61),61% (17/28),64% (9/14),8,48% (42/87),53% (47/89),51% (89/176),4,43% (6/14),60% (9/15),52% (15/29),"['1', '1', '3', '1', '6', '2']","['1', '3', '2', '4', '4', '4', '5', '5']","['1', '0', '3', '4']",[],[],1.54
14.08.2023,Bai Z.,2,2,7^7,6,,,3,6,69%,51% (31/61),39% (11/28),36% (5/14),44% (26/59),68% (19/28),67% (8/12),7,47% (42/89),52% (45/87),49% (87/176),3,40% (6/15),57% (8/14),48% (14/29),"['1', '0']","['1', '0', '3', '0', '4', '1', '5', '4']","['1', '1', '4', '2', '5', '3']",[],[],2.47
WTA - SINGLES :  Warsaw (Poland),hard,header
27.07.2023,Liu C.,0,2,2,,,,1,1,63%,54% (20/37),32% (7/22),62% (8/13),26% (10/38),53% (10/19),17% (1/6),5,46% (27/59),35% (20/57),41% (47/116),2,38% (3/8),13% (1/8),25% (4/16),[],"['2', '4']",[],[],[],9.92
