Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,444/270,269/112,115/110,46/32,14/16,-
2024,32/22,12/6,14/13,-,6/3,-
2023,22/25,12/9,9/12,0/1,1/3,-
2022,37/21,21/7,10/9,6/4,0/1,-
2021,22/24,11/8,5/11,4/3,2/2,-
2020,14/15,1/3,13/10,0/2,-,-
2019,38/27,21/6,13/15,1/2,3/4,-
2018,28/25,9/6,17/16,-,2/3,-
2017,54/20,35/8,6/4,13/8,-,-
2016,23/15,18/7,4/6,1/2,-,-
2015,37/21,20/12,9/4,8/5,-,-
2014,37/18,23/8,5/6,9/4,-,-
2013,52/16,44/13,4/2,4/1,-,-
2012,21/9,21/9,-,-,-,-
2011,22/8,16/6,6/2,-,-,-
2010,2/2,2/2,-,-,-,-
2009,3/2,3/2,-,-,-,-
