Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Dubai (United Arab Emirates) - Qualification,hard,header
14.02. 13:10,Pera B.,2,6,6,,,,12,4,60%,81% (26/32),48% (10/21),80% (4/5),47% (14/30),68% (15/22),63% (5/8),68% (36/53),56% (29/52),62% (65/105),10,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['2', '1', '5', '2']",[],[],[],1.05
14.02. 13:10,Bonaventure Y.,0,2,2,,,,5,7,58%,53% (16/30),32% (7/22),38% (3/8),19% (6/32),52% (11/21),20% (1/5),44% (23/52),32% (17/53),38% (40/105),0,0,38% (3/8),13% (1/8),25% (4/16),"['1', '5']",[],[],[],[],9.89
WTA - SINGLES :  Singapore (Singapore),hard,header
27.01. 09:40,Pera B.,1,1,7^7,3,,,5,4,67%,68% (38/56),32% (9/28),45% (5/11),40% (23/57),37% (15/41),43% (3/7),56% (47/84),39% (38/98),47% (85/182),2,1,54% (7/13),20% (3/15),36% (10/28),[],"['1', '1', '2', '2']","['2', '3']",[],[],2.77
27.01. 09:40,Osorio C.,2,6,6^0,6,,,5,3,58%,60% (34/57),63% (26/41),57% (4/7),32% (18/56),68% (19/28),55% (6/11),61% (60/98),44% (37/84),53% (97/182),8,0,80% (12/15),46% (6/13),64% (18/28),"['2', '0', '4', '0']","['1', '0', '2', '1']","['3', '1', '5', '3']",[],[],1.46
WTA - SINGLES :  Australian Open (Australia),hard,header
WTA - SINGLES :  Australian Open (Australia),hard,header
12.01. 05:40,Pera B.,0,6^3,4,,,,3,11,59%,69% (31/45),32% (10/31),55% (6/11),43% (17/40),39% (14/36),50% (4/8),41,54,56% (22/39),54% (41/76),41% (31/76),47% (72/152),5,4,55% (6/11),36% (4/11),45% (10/22),"['3', '2', '6', '5']","['2', '2', '3', '3']",[],[],[],1.46
12.01. 05:40,Maria T.,2,7^7,6,,,,2,2,53%,58% (23/40),61% (22/36),50% (4/8),31% (14/45),68% (21/31),45% (5/11),8,17,56% (9/16),59% (45/76),46% (35/76),53% (80/152),5,0,64% (7/11),45% (5/11),55% (12/22),"['5', '5', '6', '6']","['2', '1', '3', '2', '5', '4']",[],[],[],2.78
WTA - SINGLES :  Hobart (Australia),hard,header
