Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Stebe C.,2,,,,,,2,2,62%,59% (33/56),53% (18/34),14% (1/7),46% (30/65),53% (18/34),70% (7/10),15,33,60% (3/5),57% (51/90),48% (48/99),52% (99/189),7,2,60% (9/15),47% (7/15),53% (16/30),"['1', '1', '4', '2', '6', '2']","['1', '1']","['2', '2', '5', '3', '6', '6']",[],[],1.41
20.08.,Gadamauri B.,1,,,,,,1,3,66%,54% (35/65),47% (16/34),30% (3/10),41% (23/56),47% (16/34),86% (6/7),31,59,57% (4/7),52% (51/99),43% (39/90),48% (90/189),3,0,53% (8/15),40% (6/15),47% (14/30),"['1', '0']","['1', '0', '3', '2']","['2', '1', '4', '5', '6', '5']",[],[],2.77
19.08.,Gadamauri B.,2,,,,,,8,5,55%,77% (51/66),59% (32/54),60% (3/5),22% (16/73),51% (32/63),33% (2/6),39,59,71% (5/7),69% (82/119),35% (48/136),51% (130/255),8,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['2', '2', '6', '6']",[],[],1.64
19.08.,Berrettini J.,1,,,,,,3,12,54%,78% (57/73),49% (31/63),67% (4/6),23% (15/66),41% (22/54),40% (2/5),31,69,56% (9/16),65% (88/136),31% (37/119),49% (125/255),2,0,89% (16/18),11% (2/18),50% (18/36),[],[],"['1', '0', '6', '5']",[],[],20.5
18.08.,Gadamauri B.,2,,,,,,7,6,58%,71% (30/42),52% (16/31),60% (3/5),35% (18/52),56% (18/32),36% (4/11),27,42,80% (8/10),63% (46/73),43% (36/84),52% (82/157),9,0,83% (10/12),33% (4/12),58% (14/24),"['3', '4', '6', '5']","['4', '5', '6', '5']",[],[],[],1.69
18.08.,Kasnikowski M.,0,,,,,,1,3,62%,65% (34/52),44% (14/32),64% (7/11),29% (12/42),48% (15/31),40% (2/5),14,34,46% (6/13),57% (48/84),37% (27/73),48% (75/157),1,0,67% (8/12),17% (2/12),42% (10/24),"['4', '2']","['4', '2']",[],[],[],20.0
17.08.,Gadamauri B.,2,,,,,,1,2,50%,96% (22/23),52% (12/23),100% (1/1),44% (8/18),63% (15/24),80% (4/5),17,20,67% (2/3),74% (34/46),55% (23/42),65% (57/88),7,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.82
17.08.,Bellifemine A.,0,,,,,,1,2,43%,56% (10/18),38% (9/24),20% (1/5),4% (1/23),48% (11/23),0% (0/1),6,28,50% (1/2),45% (19/42),26% (12/46),35% (31/88),3,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],19.0
14.08.,Loge J.,2,,,,,,"['1', '2']","['3', '3', '5', '3']","['4', '3', '5', '4']",[],[],21.0
14.08.,Gadamauri B.,1,,,,,,"['2', '0', '3', '1', '5', '1']","['2', '1']","['4', '4']",[],[],1.78
12.08.,Gadamauri B.,2,,,,,,"['4', '5', '6', '5']","['1', '0', '5', '2']",[],[],[],-
12.08.,Collignon K.,0,,,,,,"['5', '3']",[],[],[],[],-
28.07.,Kestelboim M.,2,,,,,,1,1,69%,67% (32/48),45% (10/22),60% (3/5),46% (26/57),46% (16/35),29% (4/14),22,31,83% (5/6),60% (42/70),46% (42/92),52% (84/162),7,0,80% (8/10),36% (4/11),57% (12/21),"['6', '6']","['2', '3', '4', '3', '6', '3']",[],[],[],1.65
28.07.,Gadamauri B.,0,,,,,,5,1,62%,54% (31/57),54% (19/35),71% (10/14),33% (16/48),55% (12/22),40% (2/5),34,41,63% (10/16),54% (50/92),40% (28/70),48% (78/162),3,2,64% (7/11),20% (2/10),43% (9/21),"['6', '5']","['2', '0']",[],[],[],2.16
27.07.,Gadamauri B.,2,,,,,,2,2,61%,65% (30/46),48% (14/29),50% (5/10),37% (16/43),52% (25/48),38% (5/13),29,45,58% (11/19),59% (44/75),45% (41/91),51% (85/166),8,0,62% (8/13),38% (5/13),50% (13/26),[],"['1', '1', '5', '3']","['2', '1', '4', '3', '5', '4']",[],[],1.43
27.07.,Donald M.,1,,,,,,1,9,47%,63% (27/43),48% (23/48),62% (8/13),35% (16/46),52% (15/29),50% (5/10),17,41,92% (12/13),55% (50/91),41% (31/75),49% (81/166),2,0,62% (8/13),38% (5/13),50% (13/26),"['3', '1', '5', '1']","['1', '0']","['2', '2', '4', '4']",[],[],2.70
21.07.,Paul J.,2,,,,,,2,0,75%,71% (34/48),69% (11/16),67% (2/3),29% (16/55),70% (19/27),20% (3/15),23,17,77% (10/13),70% (45/64),43% (35/82),55% (80/146),5,0,91% (10/11),27% (3/11),59% (13/22),"['2', '3', '6', '5']","['4', '3']",[],[],[],1.32
21.07.,Gadamauri B.,0,,,,,,3,2,67%,71% (39/55),30% (8/27),80% (12/15),29% (14/48),31% (5/16),33% (1/3),26,39,91% (10/11),57% (47/82),30% (19/64),45% (66/146),5,3,73% (8/11),9% (1/11),41% (9/22),"['2', '0']",[],[],[],[],3.22
20.07.,Gadamauri B.,2,,,,,,7,2,63%,77% (40/52),47% (14/30),0% (0/5),37% (30/81),69% (20/29),36% (5/14),48,38,60% (6/10),65% (54/83),45% (48/106),54% (102/189),8,0,67% (10/15),33% (5/15),50% (15/30),"['1', '0', '4', '3', '6', '3']","['3', '5']","['1', '0']",[],[],1.45
20.07.,Karlovskiy E.,1,,,,,,3,5,74%,63% (51/81),31% (9/29),64% (9/14),23% (12/52),53% (16/30),100% (5/5),20,33,64% (16/25),55% (58/106),35% (29/83),46% (87/189),2,1,67% (10/15),33% (5/15),50% (15/30),"['3', '3']","['3', '2', '5', '2', '6', '3']","['1', '1']",[],[],2.61
08.07.,Thanos A.,2,,,,,,"['2', '1', '4', '3']","['3', '2']","['1', '1', '5', '3']",[],[],1.45
