Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,246/186,59/48,153/99,34/32,0/7,-
2024,24/19,1/7,19/8,4/3,0/1,-
2023,36/24,7/3,23/15,6/6,-,-
2022,2/5,-,2/4,-,0/1,-
2021,19/24,9/6,5/9,5/7,0/2,-
2020,11/9,0/1,11/7,0/1,-,-
2019,25/25,4/4,18/16,3/3,0/2,-
2018,41/18,0/1,33/15,8/2,-,-
2017,17/12,3/1,12/7,2/3,0/1,-
2016,29/11,11/4,15/6,3/1,-,-
2015,9/8,7/3,1/3,1/2,-,-
2014,14/8,3/2,10/4,1/2,-,-
2013,4/5,1/3,3/2,-,-,-
2012,4/6,3/4,1/1,0/1,-,-
2011,8/8,7/6,0/1,1/1,-,-
2010,3/4,3/3,0/1,-,-,-
