Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,442/323,120/140,305/171,0/6,0/1,17/5
2024,29/20,7/7,20/12,-,0/1,2/0
2023,25/21,0/7,19/11,0/2,-,6/1
2022,46/25,5/4,41/20,0/1,-,-
2021,54/31,7/8,38/19,-,-,9/4
2020,18/24,18/24,-,-,-,-
2019,14/19,2/7,12/10,0/2,-,-
2018,34/20,11/12,23/8,-,-,-
2017,18/24,9/11,9/13,-,-,-
2016,40/35,15/16,25/19,-,-,-
2015,22/22,1/5,21/16,0/1,-,-
2014,53/24,1/3,52/21,-,-,-
2013,42/26,17/11,25/15,-,-,-
2012,27/15,7/8,20/7,-,-,-
2011,13/5,13/5,-,-,-,-
2010,4/6,4/6,-,-,-,-
2008,3/6,3/6,-,-,-,-
