Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/38,40/26,11/5,3/6,-,2/1
2024,10/6,10/6,-,-,-,-
2023,12/6,11/5,-,-,-,1/1
2022,18/9,15/7,-,3/2,-,-
2021,8/8,4/5,4/1,0/2,-,-
2020,8/9,0/3,7/4,0/2,-,1/0
