Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,116/73,27/20,77/50,2/2,-,10/1
2024,37/16,7/3,19/11,1/1,-,10/1
2023,10/9,-,10/9,-,-,-
2022,17/8,-,17/8,-,-,-
2021,23/16,3/1,20/15,-,-,-
2019,17/10,8/4,9/6,-,-,-
2018,6/6,5/5,-,1/1,-,-
2017,4/7,4/7,-,-,-,-
2016,2/1,-,2/1,-,-,-
