Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,533/458,52/53,406/327,41/45,34/33,-
2024,24/22,4/4,20/18,-,-,-
2023,37/28,2/2,34/23,0/1,1/2,-
2022,32/25,4/2,28/20,0/3,-,-
2021,31/23,13/7,18/16,-,-,-
2020,6/4,-,6/4,-,-,-
2019,24/28,1/1,21/25,2/2,-,-
2018,19/27,0/1,19/26,-,-,-
2017,40/30,-,39/29,1/1,-,-
2016,22/28,1/2,19/22,1/1,1/3,-
2015,30/26,1/2,27/21,0/1,2/2,-
2014,17/25,1/3,13/14,1/3,2/5,-
2013,30/24,2/2,25/19,-,3/3,-
2012,23/31,2/6,15/18,4/4,2/3,-
2011,43/28,6/8,28/15,4/2,5/3,-
2010,37/22,3/6,27/11,4/2,3/3,-
2009,47/26,6/3,29/14,10/8,2/1,-
2008,7/13,0/1,3/8,2/3,2/1,-
2007,39/20,-,26/13,6/4,7/3,-
2006,13/15,2/1,5/6,5/5,1/3,-
2005,8/8,4/1,1/4,0/2,3/1,-
2004,4/4,-,3/1,1/3,-,-
2003,0/1,0/1,-,-,-,-
