Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,368/255,49/45,190/118,99/66,21/19,9/7
2024,0/2,-,0/2,-,-,-
2023,12/24,5/7,5/12,0/1,2/4,-
2022,23/24,5/7,8/6,6/8,4/3,-
2021,43/20,13/5,14/6,6/4,10/5,-
2020,31/14,6/6,12/4,13/3,-,0/1
2019,30/29,0/1,15/15,12/11,2/1,1/1
2018,45/29,8/7,19/12,14/4,3/3,1/3
2017,25/23,5/4,11/9,7/6,0/2,2/2
2016,50/21,3/3,32/9,10/8,0/1,5/0
2015,47/27,-,39/22,8/5,-,-
2014,23/16,-,14/10,9/6,-,-
2013,32/18,0/1,18/9,14/8,-,-
2012,5/4,2/2,3/2,-,-,-
2011,0/1,0/1,-,-,-,-
2010,2/3,2/1,-,0/2,-,-
