Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/23,8/10,0/6,-,-,6/7
2024,5/10,5/6,0/4,-,-,-
2023,6/8,3/4,0/1,-,-,3/3
2022,3/5,-,0/1,-,-,3/4
