Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,63/51,51/45,-,-,-,12/6
2024,24/19,21/17,-,-,-,3/2
2023,29/22,20/18,-,-,-,9/4
2022,7/8,7/8,-,-,-,-
2021,3/2,3/2,-,-,-,-
