Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.06.,Lopez Morillo I.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '6', '4']",[],[],[],1.41
20.06.,Welte M.,0,,,,,,[],"['2', '3']",[],[],[],2.77
19.06.,Welte M.,2,,,,,,"['2', '3', '3', '4', '5', '4']","['2', '1', '6', '5']",[],[],[],2.20
19.06.,Beckley A.,0,,,,,,"['2', '0', '4', '2']","['5', '5']",[],[],[],1.61
18.06.,Welte M.,1,,,,,,"['2', '1', '6', '3']","['2', '4']",[],[],[],3.91
18.06.,Rottgering M.,0,,,,,,[],"['1', '0', '3', '0']",[],[],[],1.22
23.10.2024,Guerrieri A.,2,,,,,,[],"['4', '2']","['1', '0']",[],[],1.71
23.10.2024,Welte M.,1,,,,,,"['5', '3']",[],[],[],[],2.01
17.10.2024,Beauge M.,2,,,,,,"['5', '4']","['1', '0', '4', '1']",[],[],[],1.75
17.10.2024,Welte M.,0,,,,,,[],[],[],[],[],1.96
16.10.2024,Welte M.,2,,,,,,"['1', '0', '5', '4', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],1.45
16.10.2024,Opitz J.,0,,,,,,"['4', '4', '5', '5']",[],[],[],[],2.59
03.10.2024,Hoang A.,2,,,,,,"['4', '2', '5', '3']","['1', '0']","['3', '1', '5', '3']",[],[],1.30
03.10.2024,Welte M.,1,,,,,,"['3', '4']","['1', '1']","['3', '4']",[],[],3.26
01.10.2024,Welte M.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0']",[],[],[],1.38
01.10.2024,Camus C.,0,,,,,,[],"['2', '5']",[],[],[],2.85
25.08.2024,Engel J.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '4']",[],[],[],1.27
25.08.2024,Welte M.,0,,,,,,[],"['4', '4']",[],[],[],3.51
24.08.2024,Welte M.,2,,,,,,"['1', '0', '2', '1', '4', '1', '5', '2', '6', '3']","['5', '3', '6', '4']",[],[],[],2.45
24.08.2024,Raynel A.,0,,,,,,"['1', '1', '2', '4', '3', '5']","['4', '5']",[],[],[],1.51
23.08.2024,Welte M.,0,,,,,,"['3', '2']",[],[],[],[],3.34
23.08.2024,Gavrielides L.,0,,,,,,[],[],[],[],[],1.30
20.08.2024,Welte M.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0', '5', '1']",[],[],[],1.06
20.08.2024,Antonio J.,0,,,,,,"['3', '5']",[],[],[],[],7.80
14.08.2024,Wenger D.,2,,,,,,[],"['4', '2', '6', '4']","['2', '0', '3', '1', '4', '2', '6', '4']",[],[],1.23
14.08.2024,Welte M.,1,,,,,,"['2', '1']","['4', '5']","['1', '2', '2', '3', '3', '4']",[],[],3.86
17.07.2024,Engel J.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.43
17.07.2024,Welte M.,0,,,,,,[],[],[],[],[],2.68
03.07.2024,Wiskandt M.,2,,,,,,"['3', '1', '5', '3']","['3', '2', '5', '2']",[],[],[],1.80
03.07.2024,Welte M.,0,,,,,,"['2', '3']",[],[],[],[],1.92
26.06.2024,Tonejc V.,2,,,,,,"['2', '1', '5', '2']","['1', '2', '2', '3']","['1', '0', '3', '2', '5', '4']",[],[],1.86
26.06.2024,Welte M.,1,,,,,,[],"['2', '0', '3', '1', '6', '4']","['1', '1', '4', '4']",[],[],1.86
20.06.2024,Lipp M.,2,,,,,,"['3', '3', '6', '4']","['4', '2', '5', '3']",[],[],[],3.24
20.06.2024,Welte M.,0,,,,,,"['1', '0']","['3', '4']",[],[],[],1.31
19.06.2024,Welte M.,2,,,,,,"['4', '3']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.62
19.06.2024,Oetzbach A.,0,,,,,,[],"['1', '1']",[],[],[],2.20
19.01.2024,Filip J.,2,,,,,,"['4', '2']","['1', '0', '6', '5']","['3', '1', '6', '2']",[],[],2.45
19.01.2024,Welte M.,1,,,,,,[],"['1', '1', '6', '6']",[],[],[],1.51
18.01.2024,Welte M.,2,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],1.43
18.01.2024,Kalina V.,0,,,,,,[],[],[],[],[],2.68
17.01.2024,Welte M.,2,,,,,,"['6', '5']","['1', '0', '6', '5']",[],[],[],1.75
17.01.2024,Lane L.,0,,,,,,[],"['3', '3']",[],[],[],1.98
22.08.2023,Al Azmeh T.,2,,,,,,"['6', '4']","['3', '1', '5', '1']",[],[],[],4.18
22.08.2023,Welte M.,0,,,,,,[],[],[],[],[],1.20
16.08.2023,Wiedenmann L.,2,,,,,,"['5', '5']","['5', '3']","['3', '2', '4', '3']",[],[],1.51
16.08.2023,Welte M.,1,,,,,,"['2', '1', '6', '5']",[],"['3', '3']",[],[],2.43
04.08.2023,Fanselow S.,2,,,,,,"['5', '5', '7', '5']","['3', '3']","['2', '0', '5', '1']",[],[],1.26
04.08.2023,Welte M.,1,,,,,,"['2', '1']","['1', '0', '4', '3']","['2', '5']",[],[],3.72
04.08.2023,Welte M.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['3', '1', '7', '5']",[],[],[],1.98
04.08.2023,Zanellato N.,0,,,,,,"['3', '5']","['2', '3']",[],[],[],1.74
03.08.2023,Welte M.,2,,,,,,"['2', '0', '4', '2', '5', '5', '7', '5']","['1', '1', '5', '3']",[],[],[],1.64
03.08.2023,Yunis F.,0,,,,,,"['2', '3', '3', '4', '5', '4']","['1', '0']",[],[],[],2.16
13.07.2023,Setkic A.,2,,,,,,"['4', '3']","['6', '5']",[],[],[],1.87
13.07.2023,Welte M.,0,,,,,,[],[],[],[],[],1.84
12.07.2023,Welte M.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],[],4.13
12.07.2023,Strombachs R.,0,,,,,,[],"['2', '5']",[],[],[],1.20
05.07.2023,Recek D.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],2.31
05.07.2023,Welte M.,0,,,,,,[],[],[],[],[],1.56
20.06.2023,Fonseca J.,2,,,,,,"['4', '3', '6', '5']","['6', '5']",[],[],[],1.15
20.06.2023,Welte M.,0,,,,,,"['4', '4']",[],[],[],[],4.94
