Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,371/301,181/149,94/67,83/74,13/11,-
2024,27/16,13/9,10/4,-,4/3,-
2023,58/27,43/15,9/6,6/6,-,-
2022,26/24,21/15,1/1,4/8,-,-
2021,2/17,1/9,1/2,0/6,-,-
2020,5/8,1/4,0/1,4/3,-,-
2019,32/30,9/12,11/8,9/7,3/3,-
2018,36/27,9/8,13/11,11/6,3/2,-
2017,31/30,21/14,4/7,6/7,0/2,-
2016,42/30,25/19,1/5,16/6,-,-
2015,47/29,15/11,25/10,7/8,-,-
2014,37/27,10/10,12/5,15/12,-,-
2013,13/13,3/6,2/2,5/4,3/1,-
2012,9/12,4/8,5/3,0/1,-,-
2011,1/3,1/2,0/1,-,-,-
2010,5/8,5/7,0/1,-,-,-
