Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,349/269,80/64,193/138,47/32,24/28,5/7
2024,23/21,8/8,10/9,-,4/4,1/0
2023,12/13,5/2,6/8,-,1/2,0/1
2022,25/20,2/4,20/11,0/1,3/4,-
2021,2/2,-,2/2,-,-,-
2020,14/3,5/2,8/1,-,-,1/0
2019,7/20,3/8,2/7,0/1,2/3,0/1
2018,28/27,6/6,16/14,2/2,3/3,1/2
2017,38/26,12/6,20/13,2/2,2/3,2/2
2016,33/24,7/4,19/15,4/1,3/3,0/1
2015,44/23,9/3,31/17,1/1,3/2,-
2014,23/8,-,23/8,-,-,-
2013,17/26,3/6,12/14,2/4,0/2,-
2012,34/24,10/6,12/12,9/5,3/1,-
2011,28/17,1/4,9/5,18/7,0/1,-
2010,6/9,2/3,3/2,1/4,-,-
2009,11/4,7/2,-,4/2,-,-
2008,4/2,-,-,4/2,-,-
