Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,321/270,101/84,184/139,17/17,19/27,0/3
2024,5/11,3/3,2/8,-,-,-
2023,14/14,3/4,11/8,-,0/2,-
2022,19/20,2/4,13/9,0/2,4/4,0/1
2021,29/22,5/6,20/12,-,4/4,-
2020,27/14,5/2,18/11,4/0,-,0/1
2019,17/17,3/5,10/7,1/2,3/3,-
2018,0/2,-,0/2,-,-,-
2017,24/22,8/5,12/12,1/1,3/3,0/1
2016,25/23,15/9,7/10,3/2,0/2,-
2015,16/23,4/7,12/10,0/3,0/3,-
2014,26/24,8/8,11/11,4/2,3/3,-
2013,34/21,15/9,17/8,0/1,2/3,-
2012,37/21,13/8,20/11,4/2,-,-
2011,22/17,7/7,15/8,0/2,-,-
2010,16/14,8/5,8/9,-,-,-
2009,10/5,2/2,8/3,-,-,-
