Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/99,87/67,29/29,-,-,3/3
2024,19/20,19/17,0/3,-,-,-
2023,31/24,28/21,3/3,-,-,-
2022,32/27,22/19,8/5,-,-,2/3
2021,19/8,11/5,8/3,-,-,-
2020,2/3,2/3,-,-,-,-
2017,5/3,5/2,0/1,-,-,-
2016,2/2,-,1/2,-,-,1/0
2015,5/4,-,5/4,-,-,-
2013,4/8,-,4/8,-,-,-
