Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/13,0/2,12/11,-,-,-
2024,11/8,-,11/8,-,-,-
2023,1/3,0/1,1/2,-,-,-
2022,0/2,0/1,0/1,-,-,-
