Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,432/273,92/84,113/74,206/91,20/22,1/2
2024,18/16,2/6,10/7,6/2,0/1,-
2023,62/25,11/11,15/4,34/8,2/2,-
2022,28/35,17/12,4/11,7/9,0/2,0/1
2021,43/32,12/12,8/5,19/12,4/3,-
2020,30/15,7/6,2/4,20/4,-,1/1
2019,48/20,11/7,16/7,19/5,2/1,-
2018,9/15,2/7,2/4,1/2,4/2,-
2017,21/23,9/6,5/10,4/3,3/4,-
2016,60/26,19/7,5/7,33/9,3/3,-
2015,25/27,2/8,8/5,13/10,2/4,-
2014,44/13,0/1,21/4,23/8,-,-
2013,20/9,0/1,10/2,10/6,-,-
2012,20/13,-,4/2,16/11,-,-
2011,4/4,-,3/2,1/2,-,-
