Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Kirchheimer S.,1,,,,,,2,1,77%,75% (30/40),50% (6/12),67% (2/3),37% (16/43),56% (14/25),38% (3/8),14,19,86% (6/7),69% (36/52),44% (30/68),55% (66/120),7,0,89% (8/9),33% (3/9),61% (11/18),"['4', '2']","['1', '0', '5', '4']",[],[],[],1.76
11.08.,Jung J.,0,,,,,,1,3,63%,63% (27/43),44% (11/25),63% (5/8),25% (10/40),50% (6/12),33% (1/3),19,39,50% (2/4),56% (38/68),31% (16/52),45% (54/120),3,0,67% (6/9),11% (1/9),39% (7/18),[],"['2', '2']",[],[],[],21.0
05.08.,Svajda T.,2,,,,,,4,3,57%,53% (27/51),58% (22/38),73% (11/15),43% (17/40),63% (22/35),56% (5/9),28,29,62% (8/13),55% (49/89),52% (39/75),54% (88/164),5,0,64% (7/11),50% (5/10),57% (12/21),"['2', '0']","['1', '0', '3', '0', '4', '1', '5', '4']",[],[],[],1.11
05.08.,Jung J.,0,,,,,,2,6,53%,57% (23/40),37% (13/35),44% (4/9),47% (24/51),42% (16/38),27% (4/15),32,39,56% (10/18),48% (36/75),45% (40/89),46% (76/164),5,1,50% (5/10),36% (4/11),43% (9/21),[],"['1', '3', '2', '4', '4', '4', '5', '5']",[],[],[],5.85
20.07.,Andrade A.,2,,,,,,4,4,48%,74% (20/27),52% (15/29),60% (3/5),41% (15/37),80% (20/25),43% (6/14),21,21,100% (7/7),63% (35/56),56% (35/62),59% (70/118),6,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '2', '5', '3']",[],[],[],1.08
20.07.,Jung J.,0,,,,,,0,6,60%,59% (22/37),20% (5/25),57% (8/14),26% (7/27),48% (14/29),40% (2/5),11,37,77% (10/13),44% (27/62),38% (21/56),41% (48/118),4,4,25% (2/8),25% (2/8),25% (4/16),[],"['2', '3', '3', '4']",[],[],[],6.60
20.01.2024,Gigante M.,2,,,,,,13,5,61%,81% (34/42),52% (14/27),100% (1/1),27% (11/41),58% (11/19),40% (2/5),70% (48/69),37% (22/60),54% (70/129),7,0,100% (11/11),20% (2/10),62% (13/21),"['4', '2']","['6', '5']",[],[],[],1.55
20.01.2024,Jung J.,0,,,,,,4,2,68%,73% (30/41),42% (8/19),60% (3/5),19% (8/42),48% (13/27),0% (0/1),63% (38/60),30% (21/69),46% (59/129),3,0,80% (8/10),0% (0/11),38% (8/21),[],[],[],[],[],2.34
19.01.2024,Jung J.,2,,,,,,3,0,63%,75% (30/40),57% (13/23),100% (2/2),26% (7/27),46% (11/24),75% (3/4),68% (43/63),35% (18/51),54% (61/114),8,0,100% (9/9),30% (3/10),63% (12/19),"['1', '0']","['1', '0', '6', '3']",[],[],[],2.45
19.01.2024,Peniston R.,0,,,,,,5,1,53%,74% (20/27),54% (13/24),25% (1/4),25% (10/40),43% (10/23),0% (0/2),65% (33/51),32% (20/63),46% (53/114),2,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.51
17.01.2024,Jung J.,2,,,,,,2,4,60%,76% (32/42),57% (16/28),50% (1/2),22% (10/45),60% (21/35),17% (2/12),69% (48/70),39% (31/80),53% (79/150),6,0,91% (10/11),18% (2/11),55% (12/22),"['5', '4']","['1', '2']",[],[],[],2.23
17.01.2024,Dougaz A.,0,,,,,,10,4,56%,78% (35/45),40% (14/35),83% (10/12),24% (10/42),43% (12/28),50% (1/2),61% (49/80),31% (22/70),47% (71/150),4,1,82% (9/11),9% (1/11),45% (10/22),[],"['2', '0']",[],[],[],1.62
15.01.2024,Jung J.,2,,,,,,4,1,70%,71% (22/31),62% (8/13),100% (3/3),48% (13/27),67% (12/18),71% (5/7),68% (30/44),56% (25/45),62% (55/89),6,0,100% (7/7),63% (5/8),80% (12/15),"['5', '2', '6', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.33
15.01.2024,Jones M.,0,,,,,,4,2,60%,52% (14/27),33% (6/18),29% (2/7),29% (9/31),38% (5/13),0% (0/3),44% (20/45),32% (14/44),38% (34/89),4,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],3.19
10.01.2024,Guinard M.,2,,,,,,9,3,65%,79% (37/47),52% (13/25),83% (5/6),33% (15/45),43% (10/23),33% (3/9),69% (50/72),37% (25/68),54% (75/140),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['4', '5']",[],[],[],1.93
10.01.2024,Jung J.,0,,,,,,6,2,66%,67% (30/45),57% (13/23),67% (6/9),21% (10/47),48% (12/25),17% (1/6),63% (43/68),31% (22/72),46% (65/140),4,0,67% (6/9),10% (1/10),37% (7/19),[],"['2', '0']",[],[],[],1.81
09.01.2024,Jung J.,2,,,,,,3,1,64%,71% (24/34),58% (11/19),75% (3/4),49% (26/53),38% (5/13),40% (4/10),66% (35/53),47% (30/64),56% (65/117),6,0,89% (8/9),44% (4/9),67% (12/18),"['2', '2', '6', '4']","['2', '0', '6', '2']",[],[],[],1.90
09.01.2024,Hardt N.,0,,,,,,0,0,80%,51% (27/53),62% (8/13),60% (6/10),29% (10/34),42% (8/19),25% (1/4),53% (34/64),34% (18/53),44% (52/117),4,4,56% (5/9),11% (1/9),33% (6/18),"['1', '0']",[],[],[],[],1.84
20.11.2023,Shimizu Y.,2,,,,,,5,2,66%,82% (32/39),50% (10/20),33% (1/3),43% (23/53),52% (11/21),50% (4/8),71% (42/59),46% (34/74),57% (76/133),82% (9/11),36% (4/11),59% (13/22),"['3', '1', '6', '4']","['2', '0', '7', '5']",[],[],[],1.73
20.11.2023,Jung J.,0,,,,,,1,0,72%,57% (30/53),48% (10/21),50% (4/8),18% (7/39),50% (10/20),67% (2/3),54% (40/74),29% (17/59),43% (57/133),64% (7/11),18% (2/11),41% (9/22),"['2', '3']","['4', '5']",[],[],[],2.00
17.11.2023,Wu Tung-Lin,2,,,,,,10,2,58%,72% (23/32),43% (10/23),67% (4/6),42% (14/33),52% (12/23),83% (5/6),60% (33/55),46% (26/56),53% (59/111),78% (7/9),50% (5/10),63% (12/19),"['2', '1', '3', '2', '5', '4']","['3', '2', '6', '3']",[],[],[],1.76
17.11.2023,Jung J.,0,,,,,,1,1,59%,58% (19/33),48% (11/23),17% (1/6),28% (9/32),57% (13/23),33% (2/6),54% (30/56),40% (22/55),47% (52/111),50% (5/10),22% (2/9),37% (7/19),"['2', '2', '3', '3']",[],[],[],[],2.01
16.11.2023,Chung Y.,1,,,,,,4,2,64%,62% (40/65),25% (9/36),53% (8/15),46% (26/56),44% (15/34),36% (4/11),49% (49/101),46% (41/90),47% (90/191),46% (6/13),31% (4/13),38% (10/26),"['2', '0']","['1', '0', '2', '1', '3', '4']",[],[],[],2.24
16.11.2023,Jung J.,1,,,,,,1,4,62%,54% (30/56),56% (19/34),64% (7/11),38% (25/65),75% (27/36),47% (7/15),54% (49/90),51% (52/101),53% (101/191),69% (9/13),54% (7/13),62% (16/26),"['3', '4']","['1', '1', '2', '2', '4', '2', '5', '3']","['2', '1', '4', '1']",[],[],1.61
14.11.2023,Jung J.,2,,,,,,2,2,65%,67% (32/48),50% (13/26),63% (5/8),42% (18/43),49% (17/35),67% (4/6),61% (45/74),45% (35/78),53% (80/152),73% (8/11),36% (4/11),55% (12/22),"['1', '2', '3', '4', '5', '4']","['1', '0']",[],[],[],1.63
14.11.2023,Kolar Z.,0,,,,,,1,2,55%,58% (25/43),51% (18/35),33% (2/6),33% (16/48),50% (13/26),38% (3/8),55% (43/78),39% (29/74),47% (72/152),64% (7/11),27% (3/11),45% (10/22),"['2', '0', '4', '2']","['3', '3']",[],[],[],2.20
07.11.2023,Shimizu Y.,2,,,,,,4,3,65%,61% (40/66),43% (15/35),58% (7/12),40% (23/57),46% (11/24),50% (5/10),54% (55/101),42% (34/81),49% (89/182),64% (9/14),36% (5/14),50% (14/28),"['2', '2', '6', '4']",[],"['3', '1', '5', '1', '6', '4']",[],[],1.89
07.11.2023,Jung J.,1,,,,,,2,0,70%,60% (34/57),54% (13/24),50% (5/10),39% (26/66),57% (20/35),42% (5/12),58% (47/81),46% (46/101),51% (93/182),64% (9/14),36% (5/14),50% (14/28),"['2', '1']","['1', '0', '5', '2']","['2', '5', '4', '5']",[],[],1.84
14.10.2023,Daniel T.,2,,,,,,6,3,54%,68% (30/44),42% (16/38),38% (3/8),42% (37/88),63% (24/38),40% (8/20),56% (46/82),48% (61/126),51% (107/208),67% (10/15),53% (8/15),60% (18/30),"['1', '1', '3', '3', '6', '6']","['1', '0', '2', '1', '6', '3']","['2', '0', '5', '1']",[],[],1.26
14.10.2023,Jung J.,1,,,,,,3,1,70%,58% (51/88),37% (14/38),60% (12/20),32% (14/44),58% (22/38),63% (5/8),52% (65/126),44% (36/82),49% (101/208),47% (7/15),33% (5/15),40% (12/30),"['1', '0', '3', '2', '6', '5']","['1', '1']","['2', '5']",[],[],3.63
13.10.2023,Cachin P.,2,,,,,,7,0,57%,75% (27/36),52% (14/27),50% (1/2),25% (7/28),57% (12/21),60% (3/5),65% (41/63),39% (19/49),54% (60/112),90% (9/10),33% (3/9),63% (12/19),"['3', '3', '5', '3']","['4', '3']",[],[],[],1.56
13.10.2023,Jung J.,0,,,,,,3,3,57%,75% (21/28),43% (9/21),40% (2/5),25% (9/36),48% (13/27),50% (1/2),61% (30/49),35% (22/63),46% (52/112),67% (6/9),10% (1/10),37% (7/19),"['1', '0']",[],[],[],[],2.38
12.10.2023,Jung J.,2,,,,,,2,2,70%,73% (41/56),54% (13/24),67% (4/6),34% (18/53),44% (21/48),36% (4/11),68% (54/80),39% (39/101),51% (93/181),86% (12/14),27% (4/15),55% (16/29),[],"['4', '4', '7', '5']","['2', '0', '6', '2']",[],[],2.82
12.10.2023,Duckworth J.,1,,,,,,11,5,52%,66% (35/53),56% (27/48),64% (7/11),27% (15/56),46% (11/24),33% (2/6),61% (62/101),33% (26/80),49% (88/181),73% (11/15),14% (2/14),45% (13/29),"['2', '0']","['1', '0']",[],[],[],1.43
10.10.2023,Jung J.,2,,,,,,8,4,58%,70% (32/46),58% (19/33),57% (4/7),20% (9/46),56% (25/45),27% (3/11),65% (51/79),37% (34/91),50% (85/170),79% (11/14),21% (3/14),50% (14/28),"['5', '4']",[],"['3', '2', '4', '3']",[],[],1.77
10.10.2023,Donskoy E.,1,,,,,,6,2,51%,80% (37/46),44% (20/45),73% (8/11),30% (14/46),42% (14/33),43% (3/7),63% (57/91),35% (28/79),50% (85/170),79% (11/14),21% (3/14),50% (14/28),[],"['3', '1', '6', '2']","['3', '3']",[],[],1.97
02.10.2023,Zhukayev B.,2,,,,,,13,2,67%,78% (46/59),55% (16/29),75% (3/4),35% (18/51),34% (10/29),60% (3/5),29,21,54% (13/24),70% (62/88),35% (28/80),54% (90/168),93% (13/14),21% (3/14),57% (16/28),[],"['3', '1']","['3', '2', '6', '3']",[],[],2.10
