Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,453/342,34/35,344/228,53/50,20/26,2/3
2024,4/2,-,4/2,-,-,-
2023,42/25,0/1,40/23,2/1,-,-
2022,25/28,2/5,13/13,4/4,6/5,0/1
2021,12/25,1/4,5/12,2/6,4/3,-
2020,16/18,2/4,7/8,7/6,-,-
2019,42/32,1/1,32/22,7/5,1/4,1/0
2018,45/30,0/1,27/18,13/6,4/5,1/0
2017,22/28,4/3,15/16,1/3,2/4,0/2
2016,42/23,4/3,37/18,1/2,-,-
2015,35/29,1/1,28/19,3/5,3/4,-
2014,46/30,2/2,35/21,9/7,-,-
2013,52/26,11/5,38/17,3/3,0/1,-
2012,51/26,3/2,48/24,-,-,-
2011,4/2,-,4/2,-,-,-
2010,1/2,0/1,1/1,-,-,-
2009,4/5,3/2,1/2,0/1,-,-
2008,6/4,-,6/4,-,-,-
2007,4/4,-,3/3,1/1,-,-
2006,0/2,-,0/2,-,-,-
2005,0/1,-,0/1,-,-,-
