Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,448/314,230/124,153/127,48/34,7/19,10/10
2024,30/23,16/10,13/12,-,0/1,1/0
2023,30/26,14/9,15/13,-,0/2,1/2
2022,34/30,17/15,8/9,7/4,1/1,1/1
2021,36/22,20/11,15/9,0/1,1/1,-
2020,29/16,20/5,7/9,-,-,2/2
2019,13/15,8/7,5/6,-,0/1,0/1
2018,31/28,14/8,12/12,4/5,1/2,0/1
2017,41/25,19/12,17/9,5/3,-,0/1
2016,8/29,2/9,3/13,1/4,0/2,2/1
2015,44/24,16/7,17/12,7/1,1/3,3/1
2014,30/26,16/6,7/13,6/4,1/3,-
2013,42/23,23/8,11/8,6/4,2/3,-
2012,58/13,28/8,23/2,7/3,-,-
2011,17/10,15/7,-,2/3,-,-
2010,5/4,2/2,-,3/2,-,-
