Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,589/472,384/251,115/111,66/72,11/27,13/11
2024,16/21,13/10,3/7,-,0/3,0/1
2023,32/28,18/13,9/9,2/4,2/1,1/1
2022,30/30,24/15,4/11,0/2,1/2,1/0
2021,19/28,6/9,8/10,3/6,1/2,1/1
2020,14/21,7/12,7/6,0/3,-,-
2019,24/28,14/10,7/12,1/3,1/2,1/1
2018,39/29,19/13,15/9,3/4,1/2,1/1
2017,37/33,16/15,16/11,0/4,2/2,3/1
2016,29/31,15/12,8/11,4/4,1/3,1/1
2015,39/29,27/17,1/6,9/3,1/3,1/0
2014,31/28,15/11,11/7,2/5,1/3,2/2
2013,51/37,41/24,6/4,4/6,0/1,0/2
2012,41/31,24/14,7/6,9/9,0/2,1/0
2011,55/20,28/12,13/2,14/5,0/1,-
2010,47/28,41/21,-,6/7,-,-
2009,54/25,48/21,-,6/4,-,-
2008,27/16,24/13,-,3/3,-,-
2007,3/5,3/5,-,-,-,-
2006,1/3,1/3,-,-,-,-
2005,0/1,0/1,-,-,-,-
