Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,153/135,60/60,27/24,60/44,6/7,-
2024,30/25,13/14,5/5,7/3,5/3,-
2023,43/36,12/12,10/8,20/14,1/2,-
2022,36/31,14/15,10/5,12/9,0/2,-
2021,25/25,12/12,1/3,12/10,-,-
2020,10/8,5/3,1/3,4/2,-,-
2019,5/4,1/1,-,4/3,-,-
2018,4/6,3/3,-,1/3,-,-
