Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/123,57/51,70/61,6/6,-,2/5
2024,0/13,0/4,0/3,0/2,-,0/4
2023,19/25,10/13,9/11,0/1,-,-
2022,17/15,15/8,2/7,-,-,-
2021,13/13,0/3,11/9,-,-,2/1
2020,6/7,-,6/7,-,-,-
2019,17/11,5/4,12/7,-,-,-
2018,18/10,2/2,11/7,5/1,-,-
2017,12/7,3/3,9/4,-,-,-
2016,12/9,7/4,5/4,0/1,-,-
2015,14/7,9/6,5/1,-,-,-
2014,7/5,6/3,0/1,1/1,-,-
2013,0/1,0/1,-,-,-,-
