Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,171/103,33/14,122/80,7/9,-,9/0
2024,19/14,4/2,9/10,1/2,-,5/0
2023,30/26,9/3,21/23,-,-,-
2022,37/20,14/7,18/12,1/1,-,4/0
2021,15/8,-,15/8,-,-,-
2020,6/2,-,6/2,-,-,-
2019,28/14,5/0,21/13,2/1,-,-
2018,12/7,1/1,10/5,1/1,-,-
2017,15/7,0/1,15/4,0/2,-,-
2016,9/5,-,7/3,2/2,-,-
