Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.08.,Zhang T.,2,,,,,,"['2', '0', '5', '1']","['1', '2']","['2', '0', '4', '0', '6', '0']",[],[],21.0
14.08.,Hazawa S.,1,,,,,,[],"['2', '0', '5', '3']",[],[],[],1.66
12.08.,Hazawa S.,2,,,,,,"['2', '3']","['2', '0', '5', '1']",[],[],[],1.73
12.08.,Huang H.,0,,,,,,"['2', '0']",[],[],[],[],19.0
02.07.,Muhamad Rifqi F.,2,,,,,,"['4', '2']","['2', '1', '5', '2']",[],[],[],1.79
02.07.,Hazawa S.,0,,,,,,[],"['3', '5']",[],[],[],1.91
25.06.,Shin S.,2,,,,,,"['3', '2']","['1', '0']",[],[],[],1.29
25.06.,Hazawa S.,0,,,,,,[],[],[],[],[],3.32
11.06.,Cui J.,2,,,,,,"['1', '0', '3', '2', '5', '2', '6', '3']","['1', '1', '4', '2']",[],[],[],1.11
11.06.,Hazawa S.,0,,,,,,"['1', '1', '3', '5']","['1', '0']",[],[],[],5.50
01.05.,Tomic B.,2,,,,,,"['3', '1']","['1', '2', '5', '4']",[],[],[],1.10
01.05.,Hazawa S.,0,,,,,,[],"['2', '0']",[],[],[],5.90
29.04.,Hazawa S.,2,,,,,,"['4', '3']","['3', '2', '5', '2']",[],[],[],1.34
29.04.,Hooper L.,0,,,,,,[],[],[],[],[],3.04
16.04.,Fukuda S.,2,,,,,,"['4', '2']","['3', '1']","['3', '2']",[],[],2.03
16.04.,Hazawa S.,1,,,,,,"['3', '4', '6', '5']",[],[],[],[],1.70
12.03.,Knaff A.,2,,,,,,"['2', '0']","['1', '0', '5', '2']",[],[],[],2.16
12.03.,Hazawa S.,0,,,,,,[],[],[],[],[],1.63
26.02.,Sheehy J.,2,,,,,,[],[],"['6', '4']",[],[],2.01
