Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,80/35,-,72/33,3/2,-,5/0
2024,41/20,-,38/19,3/1,-,-
2023,24/6,-,19/6,-,-,5/0
2022,15/7,-,15/6,0/1,-,-
2021,0/1,-,0/1,-,-,-
2017,0/1,-,0/1,-,-,-
