Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/5,-,-,8/5,-,-
2024,5/2,-,-,5/2,-,-
2023,2/2,-,-,2/2,-,-
2022,1/1,-,-,1/1,-,-
