Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/27,28/27,-,-,-,-
2024,18/17,18/17,-,-,-,-
2023,8/5,8/5,-,-,-,-
2022,0/1,0/1,-,-,-,-
2021,0/1,0/1,-,-,-,-
2020,2/2,2/2,-,-,-,-
2019,0/1,0/1,-,-,-,-
