Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,87/71,45/33,42/38,-,-,-
2024,37/24,25/16,12/8,-,-,-
2023,42/37,17/14,25/23,-,-,-
2022,8/10,3/3,5/7,-,-,-
