Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/19,25/18,1/1,-,-,-
2024,18/10,18/10,-,-,-,-
2023,0/1,0/1,-,-,-,-
2022,1/1,-,1/1,-,-,-
2021,6/5,6/5,-,-,-,-
2020,1/2,1/2,-,-,-,-
