Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,528/374,88/70,251/154,152/91,37/58,0/1
2024,5/12,-,5/10,-,0/2,-
2023,47/28,2/4,23/9,17/9,5/6,-
2022,36/25,2/5,16/9,10/5,8/6,-
2021,45/26,7/5,19/10,16/7,3/4,-
2020,41/23,9/4,4/6,28/13,-,-
2019,45/31,-,32/15,11/11,2/5,-
2018,20/31,2/4,11/19,4/3,3/4,0/1
2017,54/29,-,38/16,13/8,3/5,-
2016,37/31,0/1,15/15,21/10,1/5,-
2015,26/31,4/5,18/15,3/6,1/5,-
2014,65/25,14/6,40/12,11/7,-,-
2013,44/27,7/7,29/11,3/4,5/5,-
2012,15/17,11/9,1/3,3/3,0/2,-
2011,28/19,15/9,0/3,11/4,2/3,-
2010,15/12,14/8,0/1,1/1,0/2,-
2009,5/7,1/3,-,-,4/4,-
