Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,243/144,34/28,122/75,63/25,24/16,-
2024,54/25,13/7,21/9,11/4,9/5,-
2023,22/26,3/4,10/15,8/3,1/4,-
2022,41/26,5/5,17/13,9/4,10/4,-
2021,45/25,4/7,17/10,20/5,4/3,-
2020,44/23,9/5,30/14,5/4,-,-
2019,20/10,-,11/6,9/4,-,-
2018,9/5,-,9/5,-,-,-
2017,6/2,-,6/2,-,-,-
2016,2/2,-,1/1,1/1,-,-
