Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,58/52,21/23,21/15,15/13,1/1,-
2024,18/17,8/8,6/5,4/4,-,-
2023,25/23,8/10,13/8,4/5,-,-
2022,15/12,5/5,2/2,7/4,1/1,-
