Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/71,78/57,8/14,-,-,-
2024,22/15,21/13,1/2,-,-,-
2023,32/20,32/18,0/2,-,-,-
2022,26/26,21/17,5/9,-,-,-
2021,6/9,4/8,2/1,-,-,-
2020,0/1,0/1,-,-,-,-
