Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,134/135,85/95,49/40,-,-,-
2024,3/7,3/7,-,-,-,-
2023,21/28,18/25,3/3,-,-,-
2022,20/25,12/17,8/8,-,-,-
2021,18/15,9/8,9/7,-,-,-
2020,10/6,-,10/6,-,-,-
2019,7/9,5/6,2/3,-,-,-
2018,33/25,20/16,13/9,-,-,-
2017,11/11,7/7,4/4,-,-,-
2016,7/5,7/5,-,-,-,-
2015,4/4,4/4,-,-,-,-
