Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.07.,Ferrari G.,2,,,,,,"['4', '4']","['2', '0', '5', '5']","['1', '0', '3', '0', '4', '1']",[],[],1.45
02.07.,Rahmani K.,1,,,,,,"['3', '2', '5', '4']","['1', '2', '5', '4']","['1', '3', '2', '4']",[],[],2.59
26.06.,Rahmani K.,2,,,,,,"['2', '0']",[],[],[],[],3.81
26.06.,Caniato C. A.,0,,,,,,"['1', '2']",[],[],[],[],1.23
24.06.,Rahmani K.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.25
24.06.,Noce G. M.,0,,,,,,[],[],[],[],[],3.62
10.06.,Iannaccone F.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '2', '1', '6', '3']",[],[],[],1.32
10.06.,Rahmani K.,0,,,,,,"['2', '2']","['1', '1']",[],[],[],3.14
04.06.,Added D.,2,,,,,,"['1', '1', '2', '2', '6', '4']","['1', '1', '3', '1', '4', '2', '6', '2']",[],[],[],1.13
04.06.,Rahmani K.,0,,,,,,"['1', '0', '2', '1']","['1', '0', '2', '3']",[],[],[],5.10
03.06.,Rahmani K.,2,,,,,,"['2', '1', '4', '1']","['1', '0']","['1', '1', '4', '2']",[],[],1.29
03.06.,Solheim F. K.,1,,,,,,[],"['1', '1', '5', '3']","['1', '0', '4', '5']",[],[],3.32
16.05.,Ovcharenko O.,2,,,,,,"['4', '2']","['2', '1']",[],[],[],1.09
16.05.,Rahmani K.,0,,,,,,[],"['5', '5']",[],[],[],6.20
15.05.,Rahmani K.,2,,,,,,"['2', '0', '3', '1']","['4', '3', '6', '3']",[],[],[],1.37
15.05.,Haita S. H.,0,,,,,,"['1', '2']",[],[],[],[],2.89
14.05.,Rahmani K.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '3']","['3', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.68
14.05.,Alexandrescou Y. T.,1,,,,,,"['1', '1', '2', '4']","['2', '1', '5', '2']",[],[],[],2.06
07.05.,Nesterov P.,2,,,,,,"['1', '1', '3', '5', '5', '5']","['3', '1', '4', '2', '6', '2']","['3', '1', '6', '2']",[],[],1.42
07.05.,Rahmani K.,1,,,,,,"['1', '0', '2', '1', '4', '1', '6', '5']","['2', '3']",[],[],[],2.69
16.04.,Barroso Campos A.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '2']",[],[],[],1.19
16.04.,Rahmani K.,0,,,,,,[],"['2', '5']",[],[],[],4.19
02.04.,Pierre H.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],-
02.04.,Rahmani K.,0,,,,,,"['2', '3']",[],[],[],[],-
09.01.,Dhamne M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '4', '6', '5']",[],[],[],1.91
09.01.,Rahmani K.,0,,,,,,[],"['2', '2', '5', '5', '6', '6']",[],[],[],1.79
08.01.,Rahmani K.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '0']",[],[],[],2.89
08.01.,Demanet E.,0,,,,,,"['1', '0']","['3', '4']",[],[],[],1.37
19.11.2024,Planinsek F. J.,2,,,,,,"['1', '1', '3', '3']","['2', '0', '4', '0']","['3', '4', '6', '5']",[],[],1.20
19.11.2024,Rahmani K.,1,,,,,,"['1', '0', '3', '2', '4', '3']",[],"['4', '2']",[],[],4.13
14.11.2024,Haliak M.,2,,,,,,"['1', '0', '6', '3']","['3', '1', '4', '2', '6', '2']",[],[],[],1.42
14.11.2024,Rahmani K.,0,,,,,,[],"['2', '3']",[],[],[],2.69
13.11.2024,Rahmani K.,2,,,,,,"['3', '2']",[],"['2', '0', '4', '0']",[],[],2.18
13.11.2024,Kupcic J.,1,,,,,,[],"['2', '0', '5', '1']","['2', '5']",[],[],1.62
01.10.2024,Ovcharenko O.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1']",[],[],[],1.14
01.10.2024,Rahmani K.,0,,,,,,[],[],[],[],[],5.10
25.09.2024,Picchione A.,2,,,,,,"['4', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.17
25.09.2024,Rahmani K.,0,,,,,,[],[],[],[],[],4.53
24.09.2024,Rahmani K.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '2', '1', '4', '3', '6', '5']",[],[],[],3.15
24.09.2024,Carboni L.,0,,,,,,[],"['1', '1', '3', '3', '5', '5']",[],[],[],1.29
29.08.2024,Petak D.,2,,,,,,"['2', '0']","['2', '1']",[],[],[],-
29.08.2024,Rahmani K.,0,,,,,,[],"['3', '3']",[],[],[],-
