Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/11,-,27/9,2/1,-,5/1
2024,16/3,-,14/2,2/1,-,-
2023,7/4,-,2/3,-,-,5/1
2021,11/4,-,11/4,-,-,-
