Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,92/82,7/15,85/67,-,-,-
2024,31/27,3/6,28/21,-,-,-
2023,40/25,-,40/25,-,-,-
2022,21/24,4/9,17/15,-,-,-
2021,0/5,-,0/5,-,-,-
2020,0/1,-,0/1,-,-,-
