Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Timini A.,2,,,,,,"['5', '4']","['4', '5']","['1', '0', '4', '5']",[],[],2.44
14.05.,Crowther C.,1,,,,,,[],"['3', '1', '6', '4']","['1', '1', '5', '3']",[],[],1.50
08.05.,Tsitsipas Pe.,2,,,,,,"['2', '1']","['3', '4', '5', '4']",[],[],[],1.88
08.05.,Crowther C.,0,,,,,,[],"['3', '1']",[],[],[],1.82
06.05.,Crowther C.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],2.73
06.05.,Tamm K.,0,,,,,,[],[],[],[],[],1.41
17.04.,Lee K.,2,,,,,,"['4', '3']","['2', '0', '5', '1']",[],[],[],-
17.04.,Crowther C.,0,,,,,,"['4', '4']",[],[],[],[],-
16.04.,Crowther C.,2,,,,,,[],"['4', '2']","['4', '3']",[],[],1.88
16.04.,Trongcharoenchaikul W.,1,,,,,,"['2', '1', '4', '1']",[],[],[],[],1.82
09.04.,Shin W.,2,,,,,,"['1', '2']","['3', '5']","['2', '0', '4', '0']",[],[],1.14
09.04.,Crowther C.,1,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],4.95
10.02.,Crowther C.,2,,,,,,"['3', '2', '6', '5']","['1', '0', '6', '5']",[],[],[],2.28
10.02.,Ogura K.,0,,,,,,"['3', '3']","['3', '3', '6', '6']",[],[],[],1.57
02.02.,Ogura K.,2,,,,,,4,1,71%,77% (23/30),50% (6/12),0% (0/0),43% (18/42),62% (18/29),45% (5/11),69% (29/42),51% (36/71),58% (65/113),6,0,100% (7/7),63% (5/8),80% (12/15),"['1', '0', '3', '0', '6', '1']","['3', '1', '6', '2']",[],[],[],1.93
02.02.,Crowther C.,0,,,,,,5,5,59%,57% (24/42),38% (11/29),55% (6/11),23% (7/30),50% (6/12),0% (0/0),49% (35/71),31% (13/42),42% (48/113),4,1,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],1.80
26.01.,Isomura K.,2,,,,,,1,4,71%,68% (41/60),50% (12/24),50% (4/8),32% (19/59),64% (28/44),45% (5/11),63% (53/84),46% (47/103),53% (100/187),6,0,73% (11/15),36% (5/14),55% (16/29),"['1', '1', '3', '3']","['1', '1', '5', '3']","['4', '3']",[],[],1.15
26.01.,Crowther C.,1,,,,,,13,6,57%,68% (40/59),36% (16/44),55% (6/11),32% (19/60),50% (12/24),50% (4/8),54% (56/103),37% (31/84),47% (87/187),4,1,64% (9/14),27% (4/15),45% (13/29),"['1', '0', '2', '1', '4', '3']","['1', '0']",[],[],[],4.90
18.12.2024,Sach T.,2,,,,,,"['1', '0', '4', '3']","['2', '1']",[],[],[],1.58
18.12.2024,Crowther C.,0,,,,,,"['3', '3']",[],[],[],[],2.26
10.12.2024,Bataljin L.,2,,,,,,"['2', '1']","['1', '2', '2', '3', '4', '3']","['2', '3', '4', '5', '6', '5']",[],[],5.86
10.12.2024,Crowther C.,1,,,,,,"['2', '2', '7', '5']","['2', '0', '3', '1']","['2', '0', '4', '2']",[],[],1.10
21.11.2024,Ellis B.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['3', '1', '6', '2']",[],[],[],1.14
21.11.2024,Crowther C.,0,,,,,,"['3', '1']",[],[],[],[],5.00
14.11.2024,Mott B.,2,,,,,,"['2', '0', '4', '4', '7', '5']","['2', '0', '3', '1', '6', '4']",[],[],[],1.14
14.11.2024,Crowther C.,0,,,,,,"['1', '2', '4', '3']","['1', '2', '3', '4']",[],[],[],5.15
13.11.2024,Crowther C.,2,,,,,,"['5', '5']","['2', '1', '5', '4']",[],[],[],1.68
13.11.2024,Pearson K.,0,,,,,,"['5', '4']","['4', '4']",[],[],[],2.06
26.10.2024,Watt J.,1,,,,,,5,0,77%,100% (10/10),67% (2/3),0% (0/0),47% (9/19),71% (12/17),33% (3/9),92% (12/13),58% (21/36),67% (33/49),6,0,100% (3/3),75% (3/4),86% (6/7),"['2', '1', '4', '1', '6', '1']",[],[],[],[],1.55
26.10.2024,Crowther C.,0,,,,,,2,4,53%,53% (10/19),29% (5/17),67% (6/9),0% (0/10),33% (1/3),0% (0/0),42% (15/36),8% (1/13),33% (16/49),4,0,25% (1/4),0% (0/3),14% (1/7),[],[],[],[],[],2.36
20.10.2024,Delaney Je.,2,,,,,,5,0,55%,92% (22/24),90% (18/20),0% (0/0),34% (10/29),27% (7/26),25% (2/8),91% (40/44),31% (17/55),58% (57/99),7,0,100% (10/10),20% (2/10),60% (12/20),"['5', '4']","['5', '4']",[],[],[],2.48
20.10.2024,Crowther C.,0,,,,,,5,2,53%,66% (19/29),73% (19/26),75% (6/8),8% (2/24),10% (2/20),0% (0/0),69% (38/55),9% (4/44),42% (42/99),3,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.50
10.10.2024,Winter E.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '5', '4']",[],[],[],1.23
10.10.2024,Crowther C.,0,,,,,,"['2', '0']","['4', '4']",[],[],[],3.81
09.10.2024,Crowther C.,2,,,,,,"['2', '0']","['2', '1']",[],[],[],3.72
09.10.2024,Colson T.,0,,,,,,[],[],[],[],[],1.24
02.10.2024,Colson T.,2,,,,,,"['4', '3']","['3', '2']",[],[],[],1.21
02.10.2024,Crowther C.,0,,,,,,[],[],[],[],[],4.08
18.09.2024,Weber A.,2,,,,,,"['1', '0', '6', '3']","['2', '0', '4', '0']",[],[],[],1.25
18.09.2024,Crowther C.,0,,,,,,[],"['1', '4']",[],[],[],3.69
17.09.2024,Crowther C.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.03
17.09.2024,Fauzan A.,0,,,,,,[],"['1', '1']",[],[],[],9.55
11.09.2024,Crowther C.,2,,,,,,[],"['1', '4']","['6', '4']",[],[],6.15
11.09.2024,Ilagan A.,1,,,,,,[],"['2', '0', '4', '0', '5', '1']",[],[],[],1.10
10.09.2024,Crowther C.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '6', '3']",[],[],[],1.49
10.09.2024,Hongyu Y.,0,,,,,,[],[],[],[],[],2.50
03.09.2024,Basing M.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '7', '5']",[],[],[],1.14
03.09.2024,Crowther C.,0,,,,,,[],"['4', '5']",[],[],[],5.19
21.08.2024,Matsuda R.,2,,,,,,"['3', '1', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.22
21.08.2024,Crowther C.,0,,,,,,[],"['1', '0']",[],[],[],3.96
