Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,226/127,53/36,123/56,39/27,11/8,-
2024,37/25,5/2,21/12,5/7,6/4,-
2023,38/35,4/9,22/19,7/4,5/3,-
2022,66/23,25/12,30/4,11/7,-,-
2021,39/18,5/3,29/10,5/4,0/1,-
2020,15/6,0/1,13/3,2/2,-,-
2019,24/15,9/7,8/6,7/2,-,-
2018,7/5,5/2,0/2,2/1,-,-
