Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,144/97,77/58,55/36,-,-,12/3
2024,24/19,18/14,6/5,-,-,-
2023,40/28,20/17,16/10,-,-,4/1
2022,28/20,15/12,9/7,-,-,4/1
2021,22/11,8/5,10/5,-,-,4/1
2020,21/9,13/3,8/6,-,-,-
2019,2/4,2/4,-,-,-,-
2018,7/6,1/3,6/3,-,-,-
