Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,428/311,344/226,35/38,26/28,0/2,23/17
2024,13/11,7/4,2/6,-,-,4/1
2023,28/22,8/8,5/3,6/6,-,9/5
2022,15/26,9/19,5/5,-,-,1/2
2021,18/24,17/19,1/2,0/2,0/1,-
2020,18/13,13/7,0/2,3/2,-,2/2
2019,43/27,38/23,3/2,-,-,2/2
2018,17/21,12/15,3/3,1/1,0/1,1/1
2017,37/24,30/16,0/4,4/2,-,3/2
2016,42/27,34/21,5/3,3/3,-,-
2015,39/13,31/7,7/3,0/1,-,1/2
2014,14/19,13/14,0/1,1/4,-,-
2013,47/26,38/18,1/1,8/7,-,-
2012,40/13,40/13,-,-,-,-
2011,25/22,22/19,3/3,-,-,-
2010,22/15,22/15,-,-,-,-
2009,10/7,10/7,-,-,-,-
2007,0/1,0/1,-,-,-,-
