Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,101/89,90/76,9/11,2/2,-,-
2024,11/10,11/10,-,-,-,-
2023,39/20,39/20,-,-,-,-
2022,10/17,10/17,-,-,-,-
2021,19/23,17/19,0/2,2/2,-,-
2020,13/10,7/5,6/5,-,-,-
2019,9/9,6/5,3/4,-,-,-
