Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/31,5/13,9/18,-,-,-
2024,5/17,2/8,3/9,-,-,-
2023,7/11,2/3,5/8,-,-,-
2022,0/1,0/1,-,-,-,-
2021,2/2,1/1,1/1,-,-,-
