Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,472/330,97/81,277/176,60/38,35/32,3/3
2024,1/1,-,1/1,-,-,-
2023,5/5,-,5/4,0/1,-,-
2022,22/27,3/6,13/15,2/2,4/4,-
2021,23/27,7/7,6/9,8/7,2/3,0/1
2020,18/13,1/3,8/6,7/4,-,2/0
2019,31/32,4/7,19/17,5/3,2/4,1/1
2018,35/25,12/9,11/8,7/4,5/4,-
2017,30/17,3/2,19/8,5/2,3/4,0/1
2016,33/26,0/1,26/19,3/2,4/4,-
2015,37/24,7/6,17/13,9/3,4/2,-
2014,37/10,5/0,32/9,0/1,-,-
2013,24/11,4/3,14/7,6/1,-,-
2012,42/26,6/3,30/19,3/2,3/2,-
2011,11/17,5/5,4/8,2/3,0/1,-
2010,41/24,2/3,28/14,3/3,8/4,-
2009,43/20,19/13,24/7,-,-,-
2008,30/17,16/10,14/7,-,-,-
2007,9/7,3/3,6/4,-,-,-
2006,0/1,-,0/1,-,-,-
